,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,PRED,REAL,CORRECT,TP,TN,FP,FN
4401,1,1,1,46,1,1,110.2,0,0,1,0,1,0,0
5375,0,0,0,1,1,1,50.8,0,1,0,0,0,0,1
5291,0,1,0,68,1,0,86.45,0,0,1,0,1,0,0
4310,0,0,0,72,0,1,65.6,0,0,1,0,1,0,0
2130,0,0,0,51,1,1,94.8,1,1,1,1,0,0,0
5963,0,1,1,22,1,1,78.65,0,0,1,0,1,0,0
2894,0,0,0,48,1,1,60.35,0,1,0,0,0,0,1
6403,0,1,1,72,1,1,116.6,0,0,1,0,1,0,0
5107,0,1,0,47,1,1,58.6,0,0,1,0,1,0,0
5864,0,1,0,47,1,0,19.65,0,0,1,0,1,0,0
2281,0,0,0,16,1,1,65.2,1,1,1,1,0,0,0
145,0,1,1,65,1,1,99.05,0,0,1,0,1,0,0
6338,0,0,0,1,1,1,20.25,0,0,1,0,1,0,0
3769,0,1,1,40,1,1,26.2,0,0,1,0,1,0,0
3874,0,0,0,9,1,1,43.75,0,0,1,0,1,0,0
4350,0,1,0,33,1,1,44.55,0,0,1,0,1,0,0
2955,0,0,0,7,1,1,93.85,1,1,1,1,0,0,0
2869,0,0,0,6,1,1,91.1,1,1,1,1,0,0,0
6159,0,0,1,2,1,0,20.5,0,0,1,0,1,0,0
3566,0,0,1,53,1,1,84.6,0,0,1,0,1,0,0
4954,0,0,1,1,1,1,90.85,0,1,0,0,0,0,1
978,1,1,0,62,1,1,103.75,0,1,0,0,0,0,1
3283,0,1,1,69,1,1,20.35,0,0,1,0,1,0,0
4557,0,0,0,53,0,0,54.9,1,0,0,0,0,1,0
6273,1,0,0,2,1,1,70.65,1,1,1,1,0,0,0
1956,0,0,0,72,1,1,101.3,0,0,1,0,1,0,0
5327,0,1,1,30,1,0,19.7,0,0,1,0,1,0,0
1814,0,1,1,12,1,0,19.7,0,0,1,0,1,0,0
5970,0,1,0,5,1,1,89.15,1,0,0,0,0,1,0
2469,0,0,0,29,1,0,20.0,0,0,1,0,1,0,0
363,0,0,0,47,1,1,20.55,0,0,1,0,1,0,0
903,0,1,0,56,1,1,105.6,1,0,0,0,0,1,0
467,0,1,1,72,1,1,89.7,0,0,1,0,1,0,0
6330,0,1,0,23,1,0,90.15,0,0,1,0,1,0,0
4070,1,1,0,55,1,1,74.0,1,0,0,0,0,1,0
619,0,0,0,7,1,1,78.55,1,0,0,0,0,1,0
6795,0,1,1,55,1,1,85.1,0,0,1,0,1,0,0
482,1,0,0,20,1,1,81.45,1,0,0,0,0,1,0
3674,0,0,0,1,1,0,45.8,1,1,1,1,0,0,0
1364,0,1,1,51,1,0,85.5,0,0,1,0,1,0,0
2640,0,0,0,22,1,1,94.95,0,0,1,0,1,0,0
6846,0,0,0,1,1,1,79.55,1,1,1,1,0,0,0
5178,0,1,0,53,1,1,108.95,0,0,1,0,1,0,0
637,0,1,0,68,1,0,70.9,0,0,1,0,1,0,0
1315,0,1,1,11,1,0,20.9,0,0,1,0,1,0,0
6296,1,1,0,31,0,1,50.4,0,0,1,0,1,0,0
6656,0,1,1,48,1,0,23.55,0,0,1,0,1,0,0
4754,0,1,0,68,1,0,25.25,0,0,1,0,1,0,0
3643,0,1,0,53,1,0,19.05,0,0,1,0,1,0,0
6156,1,0,0,26,1,1,85.8,0,0,1,0,1,0,0
2572,0,1,0,71,1,0,25.0,0,0,1,0,1,0,0
2842,0,0,0,4,0,0,48.25,0,0,1,0,1,0,0
762,0,1,0,3,1,1,70.3,0,1,0,0,0,0,1
6147,1,1,0,39,1,0,99.1,1,0,0,0,0,1,0
2092,0,1,0,72,1,0,79.55,0,0,1,0,1,0,0
6302,0,0,0,5,1,0,75.55,1,1,1,1,0,0,0
1665,0,0,0,9,1,1,76.85,1,0,0,0,0,1,0
1250,0,1,0,56,1,0,103.2,0,0,1,0,1,0,0
4120,0,1,1,26,1,0,78.95,0,0,1,0,1,0,0
2399,0,1,0,12,0,1,49.85,1,0,0,0,0,1,0
1195,1,1,0,20,1,1,60.0,0,0,1,0,1,0,0
2532,1,0,0,41,1,1,101.1,0,0,1,0,1,0,0
3774,1,1,1,52,1,1,80.85,1,0,0,0,0,1,0
4021,0,1,1,1,1,1,20.5,1,1,1,1,0,0,0
3606,0,1,0,70,1,1,101.75,0,0,1,0,1,0,0
6433,0,1,1,58,1,0,20.5,0,0,1,0,1,0,0
5993,0,0,0,2,1,0,74.95,0,0,1,0,1,0,0
2803,0,0,0,43,1,1,19.65,0,0,1,0,1,0,0
5709,0,0,0,12,1,0,19.3,0,0,1,0,1,0,0
3324,0,0,0,1,1,0,75.55,1,0,0,0,0,1,0
5130,0,0,0,8,0,1,30.45,1,1,1,1,0,0,0
6115,0,1,1,72,1,1,109.5,0,0,1,0,1,0,0
2224,1,1,0,17,1,1,76.45,0,1,0,0,0,0,1
5429,0,1,1,72,1,1,79.5,0,0,1,0,1,0,0
5916,0,0,0,72,1,1,112.75,0,0,1,0,1,0,0
595,0,0,0,12,1,1,61.65,0,1,0,0,0,0,1
3524,1,0,0,11,1,1,84.8,1,1,1,1,0,0,0
4839,1,0,0,7,1,0,73.75,1,1,1,1,0,0,0
5249,0,0,1,72,0,0,67.2,0,0,1,0,1,0,0
4513,1,1,1,72,1,0,92.45,0,1,0,0,0,0,1
4699,0,1,0,49,1,0,106.65,1,0,0,0,0,1,0
2367,0,0,0,1,1,1,85.55,1,1,1,1,0,0,0
4043,1,1,0,59,0,1,64.05,0,0,1,0,1,0,0
6288,0,0,0,2,1,1,79.45,1,0,0,0,0,1,0
4632,0,1,1,1,1,0,19.45,0,1,0,0,0,0,1
3651,1,1,0,70,1,1,19.55,0,0,1,0,1,0,0
3714,0,1,1,69,1,1,59.75,0,0,1,0,1,0,0
4952,0,0,0,2,1,0,100.2,1,0,0,0,0,1,0
7031,1,1,0,55,1,0,60.0,0,0,1,0,1,0,0
4788,0,0,0,59,1,0,54.15,0,0,1,0,1,0,0
5348,0,0,1,25,0,1,40.65,0,0,1,0,1,0,0
5689,0,0,0,5,1,1,74.65,0,0,1,0,1,0,0
1374,0,1,1,45,1,1,84.35,1,0,0,0,0,1,0
425,1,1,0,55,1,0,51.65,0,0,1,0,1,0,0
4447,0,1,0,68,1,1,107.7,0,0,1,0,1,0,0
2239,0,1,1,67,0,0,35.7,0,0,1,0,1,0,0
4129,0,1,1,34,1,1,84.05,1,0,0,0,0,1,0
3169,0,1,1,52,1,1,68.75,0,0,1,0,1,0,0
4130,0,0,0,10,0,0,36.25,0,0,1,0,1,0,0
5235,0,0,0,9,1,1,81.15,1,0,0,0,0,1,0
6210,0,0,1,25,1,1,54.75,1,0,0,0,0,1,0
6082,0,1,0,59,1,0,101.1,0,1,0,0,0,0,1
1283,0,1,0,72,1,1,105.5,0,0,1,0,1,0,0
1305,0,0,0,28,1,1,59.55,0,0,1,0,1,0,0
224,0,0,0,12,1,1,19.35,0,0,1,0,1,0,0
3373,1,0,0,2,1,1,75.45,1,1,1,1,0,0,0
5537,1,1,0,71,1,1,115.05,0,0,1,0,1,0,0
582,1,0,0,4,1,1,89.2,1,1,1,1,0,0,0
1708,0,0,0,4,1,1,74.4,1,1,1,1,0,0,0
6549,0,0,0,1,1,1,56.25,1,1,1,1,0,0,0
3393,0,1,0,62,1,1,107.6,0,0,1,0,1,0,0
4913,0,0,1,14,1,0,76.1,1,0,0,0,0,1,0
2550,0,1,1,56,1,0,20.05,0,0,1,0,1,0,0
2177,1,1,0,72,1,1,102.65,1,0,0,0,0,1,0
3718,0,1,0,57,1,1,99.65,1,0,0,0,0,1,0
794,0,0,0,6,0,0,45.0,1,0,0,0,0,1,0
5736,0,0,0,1,1,0,20.05,0,0,1,0,1,0,0
2383,0,1,1,21,0,1,26.05,0,0,1,0,1,0,0
2473,0,1,1,6,1,0,19.85,0,0,1,0,1,0,0
4620,0,1,0,72,1,0,115.8,0,0,1,0,1,0,0
2149,0,0,0,46,1,1,101.1,0,0,1,0,1,0,0
6215,1,0,0,6,1,1,98.25,1,1,1,1,0,0,0
1020,0,1,1,39,1,0,51.05,0,0,1,0,1,0,0
4317,0,0,1,3,1,1,20.55,1,0,0,0,0,1,0
1446,0,0,1,1,1,1,50.05,1,0,0,0,0,1,0
3194,1,1,0,43,0,0,55.55,0,1,0,0,0,0,1
5323,0,1,1,58,1,1,105.2,0,0,1,0,1,0,0
387,0,0,0,42,0,1,54.75,0,0,1,0,1,0,0
2090,0,1,1,48,0,1,29.5,1,0,0,0,0,1,0
4836,0,0,0,25,1,1,78.35,0,0,1,0,1,0,0
1016,0,1,0,71,1,1,80.1,0,0,1,0,1,0,0
5630,0,0,0,39,1,1,103.45,0,1,0,0,0,0,1
5104,0,1,0,18,1,0,20.1,0,0,1,0,1,0,0
3892,0,0,0,17,1,0,19.7,0,0,1,0,1,0,0
6048,1,1,0,29,1,1,94.45,1,1,1,1,0,0,0
4558,1,0,0,27,1,1,85.25,1,1,1,1,0,0,0
6720,0,1,1,70,1,1,84.1,0,0,1,0,1,0,0
2451,0,1,1,28,1,0,106.1,0,1,0,0,0,0,1
1080,0,0,0,32,1,1,20.05,1,0,0,0,0,1,0
2423,0,0,0,18,1,0,20.1,0,0,1,0,1,0,0
5845,0,0,0,3,1,1,75.8,0,1,0,0,0,0,1
6064,0,0,0,1,0,1,45.3,1,1,1,1,0,0,0
5062,0,1,0,39,0,0,55.9,0,1,0,0,0,0,1
3720,0,0,0,42,1,0,54.55,1,0,0,0,0,1,0
884,0,1,1,49,0,1,35.8,0,0,1,0,1,0,0
4200,0,0,0,65,0,0,59.95,0,0,1,0,1,0,0
350,0,1,1,37,1,1,62.8,0,0,1,0,1,0,0
2642,0,1,0,47,1,1,85.3,0,1,0,0,0,0,1
6566,0,1,1,70,1,1,116.55,0,0,1,0,1,0,0
5894,0,0,0,45,1,1,100.85,0,1,0,0,0,0,1
6059,0,0,0,39,0,1,40.3,1,0,0,0,0,1,0
3750,1,1,0,12,1,1,79.2,0,0,1,0,1,0,0
5151,0,0,0,2,1,0,20.35,0,0,1,0,1,0,0
4295,1,1,0,67,1,1,60.95,0,0,1,0,1,0,0
531,0,1,1,70,1,0,20.05,0,0,1,0,1,0,0
4347,0,0,0,50,1,1,100.2,0,0,1,0,1,0,0
3633,1,0,0,1,1,1,71.25,1,0,0,0,0,1,0
4747,0,0,0,35,1,0,20.6,0,0,1,0,1,0,0
4216,0,0,0,72,1,0,92.0,0,0,1,0,1,0,0
639,0,1,0,10,1,1,85.25,1,1,1,1,0,0,0
6860,0,0,0,37,1,1,101.9,1,1,1,1,0,0,0
656,0,1,1,68,1,1,88.85,0,0,1,0,1,0,0
211,0,0,0,1,0,0,25.25,0,0,1,0,1,0,0
6350,0,0,1,3,1,1,20.05,0,0,1,0,1,0,0
1849,0,0,0,10,1,1,45.55,0,1,0,0,0,0,1
2636,1,1,0,70,1,1,113.0,0,0,1,0,1,0,0
1715,0,1,1,46,1,0,19.4,0,0,1,0,1,0,0
553,0,1,1,23,1,1,25.6,0,0,1,0,1,0,0
6862,1,0,0,4,1,1,88.85,1,1,1,1,0,0,0
1398,0,0,0,24,1,1,84.35,0,0,1,0,1,0,0
6768,0,1,1,72,1,0,117.5,0,0,1,0,1,0,0
1268,0,1,0,59,1,1,110.15,0,1,0,0,0,0,1
3540,0,1,1,72,1,1,108.65,0,0,1,0,1,0,0
2214,0,0,0,14,1,1,86.3,0,1,0,0,0,0,1
6209,0,0,0,29,0,1,24.85,0,0,1,0,1,0,0
6371,0,0,0,24,1,0,25.15,0,0,1,0,1,0,0
5869,0,1,1,44,1,0,94.4,0,0,1,0,1,0,0
6930,0,1,0,3,1,1,75.15,0,1,0,0,0,0,1
1984,0,1,1,14,1,1,90.9,1,1,1,1,0,0,0
5491,0,0,0,21,1,0,65.35,0,0,1,0,1,0,0
3758,0,0,0,1,1,0,49.55,0,0,1,0,1,0,0
3752,0,0,0,55,1,1,59.2,0,0,1,0,1,0,0
1027,0,0,0,47,1,0,94.9,0,0,1,0,1,0,0
1710,0,0,0,5,1,1,82.75,1,0,0,0,0,1,0
3974,0,1,0,37,1,0,79.25,0,0,1,0,1,0,0
2419,0,0,0,11,1,0,53.8,0,0,1,0,1,0,0
2454,0,0,0,71,1,0,24.55,0,0,1,0,1,0,0
5821,0,1,0,69,1,1,26.3,0,0,1,0,1,0,0
164,0,1,1,11,1,0,20.6,0,0,1,0,1,0,0
4344,0,0,0,68,1,1,80.65,0,0,1,0,1,0,0
2078,0,1,1,16,1,1,55.85,0,0,1,0,1,0,0
863,0,0,0,3,1,1,95.1,1,1,1,1,0,0,0
870,0,1,0,72,1,1,98.2,0,0,1,0,1,0,0
6112,1,1,1,66,1,1,104.9,0,0,1,0,1,0,0
3068,0,1,0,51,1,1,96.4,1,0,0,0,0,1,0
5918,0,1,1,59,1,0,19.5,0,0,1,0,1,0,0
2176,0,1,1,67,1,1,19.4,0,0,1,0,1,0,0
146,0,0,0,3,1,0,19.6,0,0,1,0,1,0,0
1278,0,1,1,36,0,0,60.7,0,0,1,0,1,0,0
3902,0,0,0,1,0,0,29.9,0,0,1,0,1,0,0
2878,0,1,0,22,1,1,87.0,1,0,0,0,0,1,0
2175,0,0,0,30,1,0,85.15,1,1,1,1,0,0,0
5728,0,0,0,13,1,0,89.4,1,1,1,1,0,0,0
3771,0,0,0,1,1,1,79.05,1,1,1,1,0,0,0
3484,1,1,0,38,1,1,83.45,1,0,0,0,0,1,0
654,1,0,0,8,1,0,19.65,0,1,0,0,0,0,1
2805,0,1,0,60,1,0,59.85,0,0,1,0,1,0,0
1607,1,1,0,13,1,1,89.05,1,1,1,1,0,0,0
6692,0,0,0,41,1,1,74.65,1,0,0,0,0,1,0
466,1,1,0,64,1,0,102.1,0,0,1,0,1,0,0
3863,0,1,0,17,1,1,102.55,0,0,1,0,1,0,0
4357,0,1,0,15,1,0,20.45,0,0,1,0,1,0,0
6824,1,0,0,66,1,1,80.45,0,1,0,0,0,0,1
2492,0,1,0,13,0,1,54.45,1,1,1,1,0,0,0
6303,0,1,0,71,1,0,109.25,1,0,0,0,0,1,0
2958,0,0,0,1,1,0,19.55,0,0,1,0,1,0,0
3491,0,1,0,44,1,1,70.95,0,0,1,0,1,0,0
1060,0,1,1,26,1,1,20.05,0,0,1,0,1,0,0
5190,1,1,1,29,1,1,103.95,0,0,1,0,1,0,0
1383,0,0,0,1,1,1,49.95,1,1,1,1,0,0,0
6033,1,0,0,25,1,1,88.95,0,1,0,0,0,0,1
1163,0,0,0,12,1,1,89.75,0,1,0,0,0,0,1
5585,0,0,0,1,1,1,19.3,1,1,1,1,0,0,0
6544,1,0,0,42,1,1,104.75,0,1,0,0,0,0,1
332,0,0,0,46,1,1,94.9,0,0,1,0,1,0,0
3441,0,1,1,34,1,1,60.8,0,0,1,0,1,0,0
2011,0,1,1,53,1,0,85.7,0,0,1,0,1,0,0
1600,1,0,0,1,1,1,88.8,1,1,1,1,0,0,0
1915,0,0,0,24,1,1,51.1,0,0,1,0,1,0,0
2772,0,1,1,67,1,0,74.0,0,0,1,0,1,0,0
5681,1,1,0,34,1,0,64.2,0,0,1,0,1,0,0
4109,0,0,0,2,0,1,25.05,1,1,1,1,0,0,0
1161,0,0,1,1,0,1,31.35,0,1,0,0,0,0,1
3689,1,0,0,1,1,1,71.15,1,1,1,1,0,0,0
5266,0,1,1,37,1,1,58.75,0,0,1,0,1,0,0
2627,0,0,0,33,1,0,25.7,0,0,1,0,1,0,0
133,0,0,0,1,0,1,35.45,1,1,1,1,0,0,0
6586,0,1,1,45,1,1,24.65,0,0,1,0,1,0,0
4972,0,1,0,71,1,0,25.05,0,0,1,0,1,0,0
4874,0,0,0,38,1,1,83.9,1,1,1,1,0,0,0
3864,0,0,0,30,1,1,100.2,0,1,0,0,0,0,1
732,0,1,1,25,1,1,75.5,0,0,1,0,1,0,0
3823,0,1,0,72,1,0,78.85,0,0,1,0,1,0,0
1513,1,0,0,1,0,1,25.8,1,1,1,1,0,0,0
1150,0,0,0,41,0,1,40.35,0,0,1,0,1,0,0
3645,0,0,0,9,1,0,19.05,0,0,1,0,1,0,0
5263,1,0,0,55,0,1,44.85,0,0,1,0,1,0,0
1133,0,0,1,2,1,0,19.25,1,0,0,0,0,1,0
2983,0,1,1,71,1,0,89.9,0,0,1,0,1,0,0
2052,0,0,0,48,1,1,103.85,0,0,1,0,1,0,0
1811,1,0,0,23,1,1,79.35,0,0,1,0,1,0,0
5017,0,1,0,41,0,0,35.45,0,0,1,0,1,0,0
4104,0,1,0,8,1,1,49.55,0,0,1,0,1,0,0
1166,0,0,0,5,1,1,53.8,1,0,0,0,0,1,0
5280,0,1,1,33,1,1,79.15,0,0,1,0,1,0,0
399,0,1,1,23,1,0,20.05,0,0,1,0,1,0,0
5536,0,0,0,9,0,1,34.7,1,1,1,1,0,0,0
1243,0,0,0,1,1,0,45.3,0,1,0,0,0,0,1
2134,0,0,0,1,1,0,20.15,1,0,0,0,0,1,0
4809,0,1,0,1,1,1,20.3,1,0,0,0,0,1,0
5590,0,1,1,25,1,1,19.15,0,0,1,0,1,0,0
6838,0,0,0,13,1,1,99.0,1,1,1,1,0,0,0
4386,0,1,1,55,1,0,57.55,0,1,0,0,0,0,1
3673,0,0,0,42,1,1,101.75,1,1,1,1,0,0,0
2202,1,1,0,7,1,1,70.1,1,1,1,1,0,0,0
669,0,1,0,70,0,0,57.8,0,0,1,0,1,0,0
3292,0,0,0,5,0,1,50.95,0,0,1,0,1,0,0
5097,0,0,0,35,1,1,96.75,1,0,0,0,0,1,0
1481,0,1,1,72,0,1,65.1,0,0,1,0,1,0,0
5901,0,1,1,49,1,0,84.5,0,1,0,0,0,0,1
5210,0,1,0,53,0,1,60.45,0,1,0,0,0,0,1
124,0,1,1,4,1,0,20.85,1,0,0,0,0,1,0
14,0,0,0,25,1,1,105.5,1,0,0,0,0,1,0
3467,1,0,0,5,1,1,91.4,0,1,0,0,0,0,1
4087,0,0,0,10,1,1,20.9,0,0,1,0,1,0,0
3798,0,0,0,42,1,1,100.3,1,0,0,0,0,1,0
5525,0,1,1,54,1,1,24.75,1,0,0,0,0,1,0
540,0,1,1,72,1,1,113.1,0,0,1,0,1,0,0
5100,0,0,0,1,1,0,75.3,1,1,1,1,0,0,0
4139,1,0,0,24,1,1,80.5,0,0,1,0,1,0,0
1568,1,0,0,11,1,1,111.4,1,0,0,0,0,1,0
5933,1,0,0,3,1,1,105.0,1,1,1,1,0,0,0
4765,0,0,0,37,0,0,35.8,0,0,1,0,1,0,0
523,0,0,0,23,1,0,75.6,0,1,0,0,0,0,1
1624,0,1,0,56,1,1,98.25,0,1,0,0,0,0,1
1088,1,1,0,17,1,1,100.45,1,1,1,1,0,0,0
4566,0,1,0,68,1,1,100.3,0,0,1,0,1,0,0
6742,0,1,1,52,1,0,79.2,0,0,1,0,1,0,0
4288,0,0,1,3,1,0,91.85,0,1,0,0,0,0,1
2952,0,1,1,26,1,1,20.25,0,0,1,0,1,0,0
3987,0,0,0,11,1,1,76.5,0,1,0,0,0,0,1
5034,1,1,1,48,0,0,29.9,1,0,0,0,0,1,0
6283,0,0,0,3,1,1,99.0,0,1,0,0,0,0,1
2607,1,0,0,1,1,1,69.75,1,1,1,1,0,0,0
6996,0,1,1,41,1,1,66.5,0,1,0,0,0,0,1
2122,0,0,0,12,1,1,75.85,0,0,1,0,1,0,0
4951,1,1,0,29,1,1,84.3,1,0,0,0,0,1,0
4514,0,0,0,28,1,1,80.6,0,0,1,0,1,0,0
4239,0,1,1,56,0,1,36.1,0,0,1,0,1,0,0
446,0,0,0,1,1,0,69.55,1,1,1,1,0,0,0
3756,0,0,0,1,0,1,24.45,0,1,0,0,0,0,1
6637,0,1,0,69,1,1,53.65,0,0,1,0,1,0,0
4977,0,1,1,24,1,1,20.8,0,0,1,0,1,0,0
599,0,1,0,65,1,1,20.4,0,0,1,0,1,0,0
2381,0,0,0,11,1,0,19.5,0,0,1,0,1,0,0
636,0,0,0,31,1,0,99.45,0,0,1,0,1,0,0
5867,1,1,0,44,1,1,19.35,0,0,1,0,1,0,0
4626,1,0,0,63,1,1,89.6,0,0,1,0,1,0,0
842,0,1,1,12,1,0,19.8,0,1,0,0,0,0,1
2814,0,1,1,62,0,0,48.7,0,0,1,0,1,0,0
4923,0,0,0,52,1,1,49.75,0,0,1,0,1,0,0
5413,0,0,0,15,1,1,94.0,1,0,0,0,0,1,0
3544,0,1,0,31,1,0,93.8,0,1,0,0,0,0,1
162,0,0,0,2,1,1,69.7,1,0,0,0,0,1,0
4451,1,0,0,45,1,1,93.9,0,0,1,0,1,0,0
5436,0,0,1,1,1,0,54.5,1,0,0,0,0,1,0
799,0,0,0,62,1,1,96.75,0,1,0,0,0,0,1
7029,1,0,0,6,0,1,44.4,0,0,1,0,1,0,0
4820,0,1,0,58,1,1,84.3,0,0,1,0,1,0,0
80,0,0,1,1,1,1,79.35,1,1,1,1,0,0,0
6002,0,1,0,6,1,1,82.85,1,1,1,1,0,0,0
1329,0,1,0,72,1,0,19.4,0,0,1,0,1,0,0
2384,1,1,0,48,1,1,91.05,1,0,0,0,0,1,0
6244,1,1,0,54,1,1,99.05,0,0,1,0,1,0,0
1408,0,1,0,71,1,1,104.1,0,0,1,0,1,0,0
4543,0,1,1,41,1,0,19.5,0,0,1,0,1,0,0
6242,0,1,1,72,1,0,107.45,0,0,1,0,1,0,0
110,0,1,0,55,1,1,96.75,0,1,0,0,0,0,1
4376,0,0,0,45,1,1,100.3,0,0,1,0,1,0,0
5202,0,1,1,59,1,1,111.1,0,0,1,0,1,0,0
2285,0,1,0,53,1,0,93.9,0,1,0,0,0,0,1
3794,0,1,0,8,1,1,54.75,0,0,1,0,1,0,0
373,0,1,1,56,1,1,99.75,0,0,1,0,1,0,0
7021,0,0,0,12,1,1,59.8,0,1,0,0,0,0,1
3671,0,0,0,1,1,1,75.1,1,1,1,1,0,0,0
2850,1,1,0,60,1,1,99.0,0,0,1,0,1,0,0
6606,0,1,0,38,1,1,105.0,0,1,0,0,0,0,1
6492,0,1,0,24,1,0,19.75,0,0,1,0,1,0,0
6113,0,0,0,21,1,0,75.3,0,0,1,0,1,0,0
1595,1,0,0,2,1,1,74.7,0,1,0,0,0,0,1
6281,0,0,0,6,1,0,20.6,0,0,1,0,1,0,0
3264,0,0,1,10,1,1,91.1,1,0,0,0,0,1,0
2174,0,0,0,19,1,0,20.25,0,0,1,0,1,0,0
323,0,1,1,9,1,0,48.6,1,0,0,0,0,1,0
5353,0,0,0,21,1,0,61.65,0,0,1,0,1,0,0
4081,0,0,0,1,1,1,69.6,1,1,1,1,0,0,0
3932,1,0,0,2,1,1,78.55,1,1,1,1,0,0,0
1273,1,1,0,49,1,1,88.2,1,0,0,0,0,1,0
4896,0,0,0,24,1,1,49.7,0,0,1,0,1,0,0
2294,0,0,0,12,1,1,106.7,1,1,1,1,0,0,0
5652,0,0,0,1,1,1,48.6,1,0,0,0,0,1,0
3236,0,0,0,16,1,0,55.3,0,0,1,0,1,0,0
2680,0,1,1,71,1,0,85.45,0,0,1,0,1,0,0
4373,0,1,1,25,1,0,20.05,0,0,1,0,1,0,0
1368,0,0,0,54,1,0,84.4,0,0,1,0,1,0,0
5154,0,1,1,17,1,1,104.2,0,1,0,0,0,0,1
2618,0,1,1,25,1,0,19.9,0,0,1,0,1,0,0
5883,0,0,0,13,1,1,20.3,0,0,1,0,1,0,0
5251,1,0,0,5,1,1,69.05,0,1,0,0,0,0,1
1471,0,1,0,31,1,0,88.65,0,0,1,0,1,0,0
912,0,1,1,72,1,1,106.1,0,0,1,0,1,0,0
368,0,1,0,71,1,1,98.65,0,0,1,0,1,0,0
2247,0,0,0,40,1,0,19.65,0,0,1,0,1,0,0
4054,1,0,0,34,0,1,56.25,0,0,1,0,1,0,0
7004,0,0,0,38,1,1,95.1,0,0,1,0,1,0,0
3553,0,0,0,62,1,0,23.4,0,0,1,0,1,0,0
5506,0,0,0,1,1,0,20.2,0,0,1,0,1,0,0
1525,0,1,1,7,1,0,20.65,0,0,1,0,1,0,0
6753,0,1,1,56,1,0,68.75,0,0,1,0,1,0,0
3059,0,1,1,64,1,1,24.05,0,0,1,0,1,0,0
1642,0,1,0,29,1,0,19.85,0,0,1,0,1,0,0
1478,0,0,0,41,1,1,104.7,1,1,1,1,0,0,0
3370,0,1,1,53,0,1,48.7,0,0,1,0,1,0,0
6316,0,1,1,63,1,0,25.25,0,0,1,0,1,0,0
2523,0,1,1,47,1,0,20.25,0,0,1,0,1,0,0
351,0,0,1,17,1,0,44.6,0,0,1,0,1,0,0
1688,0,0,0,40,1,0,20.15,0,0,1,0,1,0,0
196,0,1,1,24,1,1,24.1,0,0,1,0,1,0,0
2098,0,0,0,2,1,0,90.75,1,0,0,0,0,1,0
6399,0,0,0,55,1,1,73.1,0,0,1,0,1,0,0
3245,0,1,1,23,1,0,83.8,0,1,0,0,0,0,1
473,0,1,0,24,1,0,53.6,0,0,1,0,1,0,0
3440,0,1,1,71,1,1,90.55,0,0,1,0,1,0,0
3646,0,0,0,39,1,0,81.9,0,0,1,0,1,0,0
3424,0,0,0,10,1,1,89.5,1,1,1,1,0,0,0
1627,0,0,0,11,1,1,75.9,0,0,1,0,1,0,0
6006,0,1,1,23,0,1,30.35,0,0,1,0,1,0,0
15,0,1,1,69,1,0,113.25,0,0,1,0,1,0,0
2258,0,0,0,56,1,0,52.7,0,0,1,0,1,0,0
3479,0,0,0,4,1,1,45.3,1,1,1,1,0,0,0
2405,0,1,1,8,1,1,94.2,0,1,0,0,0,0,1
7024,0,1,0,44,1,1,84.8,0,0,1,0,1,0,0
2436,1,0,0,31,1,1,73.55,1,0,0,0,0,1,0
5276,0,1,1,46,1,0,56.9,0,0,1,0,1,0,0
6564,0,0,0,5,1,0,20.05,0,0,1,0,1,0,0
2828,0,0,0,1,1,0,20.45,0,0,1,0,1,0,0
5200,0,1,1,70,1,1,106.5,0,0,1,0,1,0,0
4487,0,1,1,4,1,0,24.1,0,0,1,0,1,0,0
1945,0,1,1,71,1,0,20.5,0,0,1,0,1,0,0
746,1,1,1,72,1,1,114.95,0,0,1,0,1,0,0
2830,0,0,0,60,1,0,61.4,0,0,1,0,1,0,0
38,0,0,0,34,1,1,106.35,0,1,0,0,0,0,1
3108,0,0,1,43,1,1,106.0,0,0,1,0,1,0,0
4046,0,0,0,44,1,1,50.15,0,0,1,0,1,0,0
6657,0,1,0,49,1,0,20.45,0,0,1,0,1,0,0
2844,1,1,0,4,1,1,99.6,1,1,1,1,0,0,0
457,0,1,1,30,1,0,80.8,0,0,1,0,1,0,0
1707,1,0,0,3,1,0,73.85,1,0,0,0,0,1,0
2672,0,0,0,27,1,0,20.1,0,0,1,0,1,0,0
5155,0,0,0,30,1,1,94.4,0,0,1,0,1,0,0
4399,0,0,0,66,1,1,103.1,1,0,0,0,0,1,0
1022,1,0,0,5,1,1,84.7,1,0,0,0,0,1,0
1191,0,1,1,35,1,1,69.15,0,0,1,0,1,0,0
301,1,0,0,4,1,1,95.45,0,1,0,0,0,0,1
2475,0,0,0,53,1,0,99.5,0,0,1,0,1,0,0
6613,0,0,0,3,1,0,20.4,0,0,1,0,1,0,0
1444,0,0,1,41,1,1,111.15,0,0,1,0,1,0,0
2871,0,1,0,14,1,1,86.1,0,1,0,0,0,0,1
922,0,1,0,16,1,1,75.4,0,0,1,0,1,0,0
2015,0,1,1,28,1,0,49.9,0,0,1,0,1,0,0
1349,0,1,0,51,0,1,49.65,0,0,1,0,1,0,0
610,0,1,1,9,0,1,29.95,1,1,1,1,0,0,0
2489,0,1,1,68,1,1,78.45,0,0,1,0,1,0,0
