,,,,,,,,,,,,,,,,Threshold,0.5,Coefficient,10,1,5,20,,WEIGHTED ACCURACY,,,,,,,
,704,0,31,0,0,2,1,0,183038.33,1,0,0,0,0.067398708243776,0,0.432601291756224,0,TRUE,0,1,0,0,,,,,,,,,
,640,0,38,9,0,2,1,0,88827.67,1,0,0,0,0.067432540470287,0,0.432567459529713,0,TRUE,0,1,0,0,,,,,,,,,
,757,0,23,2,80673.96,2,1,0,93991.65,1,0,0,0,0.067516706339701,0,0.432483293660299,0,TRUE,0,1,0,0,,,,,,,,,
,591,0,39,8,0,2,0,0,42392.24,0,0,1,0,0.067566161606124,0,0.432433838393876,0,TRUE,0,1,0,0,,,,,,,,,
,773,1,40,10,0,2,0,1,69303.15,1,0,0,0,0.067749162696518,0,0.432250837303482,0,TRUE,0,1,0,0,,,,,,,,,
,768,1,40,8,0,2,0,1,69080.46,1,0,0,0,0.067749162696518,0,0.432250837303482,0,TRUE,0,1,0,0,,,,,,,,,
,533,0,38,4,70362.52,2,1,1,104189.46,0,1,0,0,0.067785937274303,0,0.432214062725697,0,TRUE,0,1,0,0,,,,,,,,,
,707,0,40,1,0,2,1,0,14090.4,1,0,0,0,0.068181707287257,1,0.431818292712743,0,FALSE,0,0,0,1,,,,,,,,,
,622,0,37,4,0,2,1,0,4459.5,0,0,1,0,0.06819728438387,0,0.43180271561613,0,TRUE,0,1,0,0,,,,,,,,,
,506,0,36,5,0,2,1,0,164253.35,1,0,0,0,0.068236776834017,0,0.431763223165983,0,TRUE,0,1,0,0,,,,,,,,,
,611,1,26,2,107508.93,2,1,1,120801.65,1,0,0,0,0.06847404906996,0,0.43152595093004,0,TRUE,0,1,0,0,,,,,,,,,
,624,0,37,0,0,2,0,0,112104.55,1,0,0,0,0.068702851542567,0,0.431297148457433,0,TRUE,0,1,0,0,,,,,,,,,
,571,1,31,3,0,2,1,1,194667.92,0,0,1,0,0.068750772820627,0,0.431249227179373,0,TRUE,0,1,0,0,,,,,,,,,
,741,0,39,7,143637.58,2,0,1,174227.66,0,0,1,0,0.068766844139802,0,0.431233155860198,0,TRUE,0,1,0,0,,,,,,,,,
,612,1,38,1,0,2,1,1,9209.21,1,0,0,0,0.0688213716465,0,0.4311786283535,0,TRUE,0,1,0,0,,,,,,,,,
,501,0,37,4,0,2,0,0,12470.3,1,0,0,0,0.068840585345482,0,0.431159414654518,0,TRUE,0,1,0,0,,,,,,,,,
,540,0,37,6,0,2,1,0,141998.89,1,0,0,0,0.068916774549704,0,0.431083225450296,0,TRUE,0,1,0,0,,,,,,,,,
,578,0,39,2,0,2,1,0,70563.9,1,0,0,0,0.069397985891243,0,0.430602014108758,0,TRUE,0,1,0,0,,,,,,,,,
,625,0,39,2,0,2,1,0,100403.05,1,0,0,0,0.06942677099911,0,0.43057322900089,0,TRUE,0,1,0,0,,,,,,,,,
,432,0,38,7,0,2,1,0,150580.88,0,0,1,0,0.069548330094147,0,0.430451669905853,0,TRUE,0,1,0,0,,,,,,,,,
,629,1,40,6,0,2,1,1,139356.3,1,0,0,0,0.06974377977551,0,0.43025622022449,0,TRUE,0,1,0,0,,,,,,,,,
,706,0,32,5,88348.43,2,1,1,104181.78,0,1,0,0,0.069811458489706,0,0.430188541510294,0,TRUE,0,1,0,0,,,,,,,,,
,540,0,39,2,0,2,1,0,81995.92,0,0,1,0,0.069901017381838,0,0.430098982618163,0,TRUE,0,1,0,0,,,,,,,,,
,500,0,38,7,0,2,0,0,192013.23,0,0,1,0,0.069922197101383,0,0.430077802898617,0,TRUE,0,1,0,0,,,,,,,,,
,684,0,38,5,105069.98,2,1,1,198355.28,1,0,0,0,0.069926956388713,0,0.430073043611287,0,TRUE,0,1,0,0,,,,,,,,,
,628,0,42,7,0,2,0,1,172967.87,0,0,1,0,0.069988704186219,0,0.430011295813781,0,TRUE,0,1,0,0,,,,,,,,,
,565,1,40,2,0,2,1,1,129956.13,1,0,0,0,0.070035087348277,0,0.429964912651723,0,TRUE,0,1,0,0,,,,,,,,,
,554,1,35,10,74988.59,2,0,1,190155.13,1,0,0,0,0.070073472601395,0,0.429926527398605,0,TRUE,0,1,0,0,,,,,,,,,
,771,1,41,5,0,2,0,1,92914.67,0,0,1,0,0.070112388178845,0,0.429887611821155,0,TRUE,0,1,0,0,,,,,,,,,
,664,1,31,9,114519.57,2,0,1,79222.02,1,0,0,0,0.070137775759842,0,0.429862224240158,0,TRUE,0,1,0,0,,,,,,,,,
,543,0,36,6,0,2,1,0,176728.28,1,0,0,0,0.070173563544175,0,0.429826436455825,0,TRUE,0,1,0,0,,,,,,,,,
,598,0,39,1,0,2,1,0,159130.32,0,0,1,0,0.070293586952638,0,0.429706413047362,0,TRUE,0,1,0,0,,,,,,,,,
,679,0,39,6,0,2,1,0,12266.06,0,0,1,0,0.070325357027245,0,0.429674642972755,0,TRUE,0,1,0,0,,,,,,,,,
,841,1,31,3,162701.65,2,1,1,126794.56,1,0,0,0,0.070691261735293,0,0.429308738264707,0,TRUE,0,1,0,0,,,,,,,,,
,540,0,28,8,0,2,0,0,197588.32,0,0,1,0,0.070708591115585,0,0.429291408884415,0,TRUE,0,1,0,0,,,,,,,,,
,426,0,34,9,0,2,1,0,107876.91,1,0,0,0,0.070728031591631,0,0.429271968408369,0,TRUE,0,1,0,0,,,,,,,,,
,594,0,38,6,63176.44,2,1,1,14466.08,0,1,0,0,0.070748898290219,0,0.429251101709782,0,TRUE,0,1,0,0,,,,,,,,,
,521,1,32,2,136555.01,2,1,1,129353.21,1,0,0,0,0.070829051111191,0,0.429170948888809,0,TRUE,0,1,0,0,,,,,,,,,
,533,0,38,1,135289.33,2,0,1,152956.33,0,0,1,0,0.070856915381948,0,0.429143084618052,0,TRUE,0,1,0,0,,,,,,,,,
,689,1,40,1,0,2,1,1,119446.64,1,0,0,0,0.070864513185561,0,0.429135486814439,0,TRUE,0,1,0,0,,,,,,,,,
,662,1,22,2,126362.57,2,1,1,97382.8,1,0,0,0,0.070920689055516,0,0.429079310944484,0,TRUE,0,1,0,0,,,,,,,,,
,681,0,37,8,73179.34,2,1,1,25292.53,0,1,0,0,0.070920936343842,0,0.429079063656158,0,TRUE,0,1,0,0,,,,,,,,,
,520,0,38,5,0,2,1,0,163185.76,1,0,0,0,0.070939351992586,0,0.429060648007414,0,TRUE,0,1,0,0,,,,,,,,,
,720,1,34,3,118307.57,2,1,1,136120.29,1,0,0,0,0.071178938547011,0,0.428821061452989,0,TRUE,0,1,0,0,,,,,,,,,
,590,0,40,8,0,2,1,0,62933.03,1,0,0,0,0.071314583258461,0,0.428685416741539,0,TRUE,0,1,0,0,,,,,,,,,
,639,1,35,1,103015.12,2,1,1,139094.12,1,0,0,0,0.071419753027251,0,0.428580246972749,0,TRUE,0,1,0,0,,,,,,,,,
,834,0,40,7,0,2,0,0,45038.74,0,0,1,0,0.071580238022046,0,0.428419761977954,0,TRUE,0,1,0,0,,,,,,,,,
,714,1,33,10,103121.33,2,1,1,49672.01,0,0,1,0,0.071583251016858,0,0.428416748983142,0,TRUE,0,1,0,0,,,,,,,,,
,572,1,39,2,0,2,1,1,555.28,1,0,0,0,0.07162501916216,0,0.42837498083784,0,TRUE,0,1,0,0,,,,,,,,,
,544,0,40,8,0,2,1,0,61581.2,1,0,0,0,0.071876868341651,0,0.428123131658349,0,TRUE,0,1,0,0,,,,,,,,,
,850,0,36,3,0,2,1,0,195033.07,1,0,0,0,0.071896618557518,0,0.428103381442482,0,TRUE,0,1,0,0,,,,,,,,,
,687,1,35,1,110752.15,2,1,1,47921.22,1,0,0,0,0.071900836359652,0,0.428099163640348,0,TRUE,0,1,0,0,,,,,,,,,
,555,1,24,2,0,2,0,1,197866.55,0,0,1,0,0.071915729539509,0,0.428084270460491,0,TRUE,0,1,0,0,,,,,,,,,
,696,1,30,0,0,2,1,1,9002.8,0,0,1,0,0.071947086170828,0,0.428052913829172,0,TRUE,0,1,0,0,,,,,,,,,
,603,0,40,4,102833.46,2,1,1,38829.11,1,0,0,0,0.072195312996342,0,0.427804687003658,0,TRUE,0,1,0,0,,,,,,,,,
,793,0,32,2,0,2,1,0,193817.63,1,0,0,0,0.072439700017368,1,0.427560299982632,0,FALSE,0,0,0,1,,,,,,,,,
,677,0,38,4,0,2,1,0,187800.63,1,0,0,0,0.072461495306284,0,0.427538504693716,0,TRUE,0,1,0,0,,,,,,,,,
,850,0,31,6,67996.23,2,0,0,50129.87,1,0,0,0,0.072745583227573,1,0.427254416772427,0,FALSE,0,0,0,1,,,,,,,,,
,588,0,40,5,0,2,0,0,100727.68,1,0,0,0,0.072829788479534,0,0.427170211520466,0,TRUE,0,1,0,0,,,,,,,,,
,587,0,38,0,0,2,1,0,47414.15,1,0,0,0,0.072952697020491,0,0.427047302979509,0,TRUE,0,1,0,0,,,,,,,,,
,616,0,40,9,0,2,0,0,93717.55,1,0,0,0,0.073005559763391,0,0.426994440236609,0,TRUE,0,1,0,0,,,,,,,,,
,731,0,70,3,0,2,1,1,141180.66,0,0,1,0,0.073014098166125,0,0.426985901833875,0,TRUE,0,1,0,0,,,,,,,,,
,534,1,34,7,121551.58,2,1,1,70179,1,0,0,0,0.073020967192988,0,0.426979032807012,0,TRUE,0,1,0,0,,,,,,,,,
,435,0,32,2,57017.06,2,1,1,5907.11,0,1,0,0,0.073173285251313,0,0.426826714748687,0,TRUE,0,1,0,0,,,,,,,,,
,630,0,35,1,0,2,0,0,186826.22,0,0,1,0,0.073209399971557,0,0.426790600028443,0,TRUE,0,1,0,0,,,,,,,,,
,557,1,40,4,0,2,0,1,105433.53,0,0,1,0,0.07334854101172,0,0.42665145898828,0,TRUE,0,1,0,0,,,,,,,,,
,652,0,30,2,176166.56,2,1,1,152210.81,1,0,0,0,0.073416265006081,0,0.426583734993919,0,TRUE,0,1,0,0,,,,,,,,,
,679,1,40,7,0,2,1,1,163757.29,0,0,1,0,0.073487571923838,0,0.426512428076162,0,TRUE,0,1,0,0,,,,,,,,,
,710,0,38,2,0,2,1,0,96.27,1,0,0,0,0.073576133165651,0,0.426423866834349,0,TRUE,0,1,0,0,,,,,,,,,
,528,0,40,4,0,2,1,0,25399.7,0,0,1,0,0.073584599785584,0,0.426415400214416,0,TRUE,0,1,0,0,,,,,,,,,
,689,0,39,4,0,2,1,0,196112.45,1,0,0,0,0.073669508129873,0,0.426330491870128,0,TRUE,0,1,0,0,,,,,,,,,
,642,0,38,3,0,2,0,0,171463.83,1,0,0,0,0.073789531983127,0,0.426210468016873,0,TRUE,0,1,0,0,,,,,,,,,
,763,1,35,7,115651.6,2,1,1,104706.29,1,0,0,0,0.073909841022303,0,0.426090158977697,0,TRUE,0,1,0,0,,,,,,,,,
,683,0,39,4,0,2,1,0,171716.81,1,0,0,0,0.074002917011662,0,0.425997082988339,0,TRUE,0,1,0,0,,,,,,,,,
,661,0,39,5,0,2,0,0,181461.46,1,0,0,0,0.074049071592314,0,0.425950928407686,0,TRUE,0,1,0,0,,,,,,,,,
,716,0,38,4,0,2,1,0,189678.7,1,0,0,0,0.074132523381584,0,0.425867476618416,0,TRUE,0,1,0,0,,,,,,,,,
,812,0,32,5,133050.97,2,1,0,89385.92,1,0,0,0,0.074278567906532,0,0.425721432093468,0,TRUE,0,1,0,0,,,,,,,,,
,527,0,39,4,0,2,1,0,167183.07,1,0,0,0,0.074282491913022,1,0.425717508086979,0,FALSE,0,0,0,1,,,,,,,,,
,576,0,40,9,0,2,1,0,112465.19,1,0,0,0,0.074512609786312,1,0.425487390213688,0,FALSE,0,0,0,1,,,,,,,,,
,655,1,28,3,113811.85,2,0,1,76844.23,0,0,1,0,0.074513324891799,0,0.425486675108201,0,TRUE,0,1,0,0,,,,,,,,,
,574,1,34,5,112324.45,2,1,1,17993.43,1,0,0,0,0.074542435982907,0,0.425457564017093,0,TRUE,0,1,0,0,,,,,,,,,
,786,0,29,7,80895.44,2,1,0,64945.57,0,0,1,0,0.074623212134935,0,0.425376787865065,0,TRUE,0,1,0,0,,,,,,,,,
,715,1,35,4,40169.88,2,1,1,199857.47,0,0,1,0,0.074761360026925,0,0.425238639973075,0,TRUE,0,1,0,0,,,,,,,,,
,676,0,31,3,78990.15,1,1,1,124777.14,1,0,0,0,0.07477495518266,0,0.42522504481734,0,TRUE,0,1,0,0,,,,,,,,,
,688,0,20,8,137624.4,2,1,1,197582.79,1,0,0,0,0.074862027339006,0,0.425137972660994,0,TRUE,0,1,0,0,,,,,,,,,
,765,0,34,5,86055.17,2,1,1,104220.5,0,1,0,0,0.075184398068916,0,0.424815601931085,0,TRUE,0,1,0,0,,,,,,,,,
,537,0,38,3,0,2,0,0,141023.01,1,0,0,0,0.075401286778339,0,0.424598713221661,0,TRUE,0,1,0,0,,,,,,,,,
,829,0,38,9,0,2,1,0,30529.88,1,0,0,0,0.075466456058972,0,0.424533543941028,0,TRUE,0,1,0,0,,,,,,,,,
,413,0,34,9,0,2,0,0,6534.18,1,0,0,0,0.075520139276837,0,0.424479860723163,0,TRUE,0,1,0,0,,,,,,,,,
,559,0,34,2,137390.11,2,1,0,9677,1,0,0,0,0.075538306334564,0,0.424461693665436,0,TRUE,0,1,0,0,,,,,,,,,
,792,0,30,1,127187.86,1,1,1,113553.42,1,0,0,0,0.07576337744832,0,0.42423662255168,0,TRUE,0,1,0,0,,,,,,,,,
,556,0,38,8,0,2,0,0,417.41,0,0,1,0,0.075832391904254,1,0.424167608095746,0,FALSE,0,0,0,1,,,,,,,,,
,700,1,32,8,110923.15,2,1,1,161845.81,1,0,0,0,0.075932310667251,1,0.424067689332749,0,FALSE,0,0,0,1,,,,,,,,,
,782,0,23,10,98052.66,1,1,1,142587.32,0,0,1,0,0.075934928872403,0,0.424065071127597,0,TRUE,0,1,0,0,,,,,,,,,
,633,0,37,2,0,2,1,0,182258.17,1,0,0,0,0.076162312942024,0,0.423837687057976,0,TRUE,0,1,0,0,,,,,,,,,
,534,0,35,2,81951.74,2,1,0,115668.53,1,0,0,0,0.076233060464948,0,0.423766939535052,0,TRUE,0,1,0,0,,,,,,,,,
,711,1,21,0,82844.33,2,0,1,1408.68,1,0,0,0,0.076310121943527,0,0.423689878056473,0,TRUE,0,1,0,0,,,,,,,,,
,680,1,31,9,119825.75,2,1,1,101139.3,0,0,1,0,0.076433894111337,0,0.423566105888663,0,TRUE,0,1,0,0,,,,,,,,,
,642,0,30,8,80964.57,2,1,0,174738.2,1,0,0,0,0.076435701539169,0,0.423564298460831,0,TRUE,0,1,0,0,,,,,,,,,
,562,0,30,3,111099.79,2,0,0,140650.19,1,0,0,0,0.076510005582699,0,0.423489994417301,0,TRUE,0,1,0,0,,,,,,,,,
,849,1,41,6,0,2,1,1,169203.51,1,0,0,0,0.076555231781288,1,0.423444768218712,0,FALSE,0,0,0,1,,,,,,,,,
,581,0,41,8,0,2,0,0,29737.14,1,0,0,0,0.076677007279098,0,0.423322992720902,0,TRUE,0,1,0,0,,,,,,,,,
,670,0,33,2,141204.65,2,1,0,76257.46,1,0,0,0,0.076749180629549,0,0.423250819370452,0,TRUE,0,1,0,0,,,,,,,,,
,762,0,20,1,139432.55,1,1,1,85606.83,1,0,0,0,0.077047585865017,0,0.422952414134983,0,TRUE,0,1,0,0,,,,,,,,,
,745,0,35,9,92566.53,2,1,0,161519.77,1,0,0,0,0.077098986420512,0,0.422901013579488,0,TRUE,0,1,0,0,,,,,,,,,
,702,0,32,8,71667.74,1,1,1,126082.18,0,0,1,0,0.077187136838514,0,0.422812863161486,0,TRUE,0,1,0,0,,,,,,,,,
,685,0,40,2,168001.34,2,1,1,167400.29,1,0,0,0,0.077510925843745,0,0.422489074156255,0,TRUE,0,1,0,0,,,,,,,,,
,706,0,30,3,98415.37,1,1,1,110520.48,1,0,0,0,0.077721751601481,0,0.422278248398519,0,TRUE,0,1,0,0,,,,,,,,,
,793,0,41,9,0,2,1,0,152153.74,0,0,1,0,0.077757615861022,0,0.422242384138978,0,TRUE,0,1,0,0,,,,,,,,,
,696,0,19,1,110928.51,1,1,1,2766.63,1,0,0,0,0.078048233663644,0,0.421951766336356,0,TRUE,0,1,0,0,,,,,,,,,
,778,0,40,8,104291.41,2,1,1,117507.11,0,0,1,0,0.078149039949454,0,0.421850960050546,0,TRUE,0,1,0,0,,,,,,,,,
,725,0,39,1,50880.98,2,1,1,184023.54,0,1,0,0,0.078236116130549,0,0.421763883869451,0,TRUE,0,1,0,0,,,,,,,,,
,807,0,33,10,101952.97,2,1,0,178153.65,1,0,0,0,0.078515277157883,0,0.421484722842117,0,TRUE,0,1,0,0,,,,,,,,,
,523,0,30,1,83181.29,1,1,1,138176.78,1,0,0,0,0.078537665871369,0,0.421462334128631,0,TRUE,0,1,0,0,,,,,,,,,
,565,0,31,2,89558.39,2,1,1,4441.54,0,1,0,0,0.07854549375039,0,0.42145450624961,0,TRUE,0,1,0,0,,,,,,,,,
,656,0,41,2,0,2,1,0,158973.77,1,0,0,0,0.078685906885405,0,0.421314093114595,0,TRUE,0,1,0,0,,,,,,,,,
,691,0,34,8,133936.04,2,1,0,91359.79,1,0,0,0,0.078723707697286,0,0.421276292302714,0,TRUE,0,1,0,0,,,,,,,,,
,730,0,34,5,122453.37,2,1,0,138882.98,1,0,0,0,0.078759992211762,0,0.421240007788239,0,TRUE,0,1,0,0,,,,,,,,,
,637,1,40,6,0,2,1,1,181610.6,0,0,1,0,0.078815966921233,0,0.421184033078767,0,TRUE,0,1,0,0,,,,,,,,,
,553,0,41,1,0,2,1,0,90607.31,1,0,0,0,0.07889894757558,0,0.42110105242442,0,TRUE,0,1,0,0,,,,,,,,,
,827,1,35,0,0,2,0,1,184514.01,0,0,1,0,0.078916398751285,0,0.421083601248715,0,TRUE,0,1,0,0,,,,,,,,,
,781,1,27,5,0,2,0,0,72969.9,1,0,0,0,0.078964757663046,0,0.421035242336954,0,TRUE,0,1,0,0,,,,,,,,,
,579,1,35,1,129490.36,2,0,1,8590.83,0,0,1,0,0.079116416347103,1,0.420883583652897,0,FALSE,0,0,0,1,,,,,,,,,
,746,0,24,10,68781.82,1,0,1,47997.39,0,0,1,0,0.079134239864051,0,0.420865760135949,0,TRUE,0,1,0,0,,,,,,,,,
,850,0,28,9,97408.03,1,1,1,175853.64,0,0,1,0,0.079238425642637,0,0.420761574357363,0,TRUE,0,1,0,0,,,,,,,,,
,794,0,33,0,0,2,0,0,178122.71,1,0,0,0,0.079243632019979,0,0.420756367980021,0,TRUE,0,1,0,0,,,,,,,,,
,645,0,31,7,161171.7,2,1,0,12599.94,1,0,0,0,0.079279702418536,1,0.420720297581464,0,FALSE,0,0,0,1,,,,,,,,,
,699,0,29,3,125689.29,1,1,1,151623.71,1,0,0,0,0.079515444131516,0,0.420484555868484,0,TRUE,0,1,0,0,,,,,,,,,
,477,0,27,1,128554.98,1,1,1,133173.19,1,0,0,0,0.079529072835437,0,0.420470927164563,0,TRUE,0,1,0,0,,,,,,,,,
,711,1,38,2,129022.06,2,1,1,14374.86,1,0,0,0,0.079696587907569,1,0.420303412092431,0,FALSE,0,0,0,1,,,,,,,,,
,683,0,30,4,66190.33,1,1,1,115186.97,1,0,0,0,0.079723527993488,0,0.420276472006512,0,TRUE,0,1,0,0,,,,,,,,,
,578,0,23,10,88980.32,1,1,1,125222.36,1,0,0,0,0.079733786660848,0,0.420266213339152,0,TRUE,0,1,0,0,,,,,,,,,
,684,0,27,2,134603.88,1,1,1,71725.73,1,0,0,0,0.079772363296729,0,0.420227636703271,0,TRUE,0,1,0,0,,,,,,,,,
,676,0,23,1,107787.47,1,0,1,116378.82,1,0,0,0,0.079800379694274,0,0.420199620305726,0,TRUE,0,1,0,0,,,,,,,,,
,706,0,23,2,93301.97,2,0,1,127187.04,0,1,0,0,0.079814365638276,0,0.420185634361724,0,TRUE,0,1,0,0,,,,,,,,,
,522,1,41,7,0,2,0,1,176780.39,1,0,0,0,0.079824921979188,0,0.420175078020812,0,TRUE,0,1,0,0,,,,,,,,,
,770,1,30,8,0,2,1,0,100557.03,1,0,0,0,0.079895494584957,0,0.420104505415043,0,TRUE,0,1,0,0,,,,,,,,,
,619,1,33,2,167733.51,2,1,1,65222.48,1,0,0,0,0.080060679759981,0,0.41993932024002,0,TRUE,0,1,0,0,,,,,,,,,
,477,0,22,5,82559.42,2,0,0,163112.9,1,0,0,0,0.080114182906683,1,0.419885817093318,0,FALSE,0,0,0,1,,,,,,,,,
,574,0,26,8,97460.1,1,1,1,43093.67,1,0,0,0,0.080135609378369,0,0.419864390621631,0,TRUE,0,1,0,0,,,,,,,,,
,656,0,28,8,120047.77,1,1,1,137173.39,0,0,1,0,0.080192939026258,0,0.419807060973742,0,TRUE,0,1,0,0,,,,,,,,,
,740,0,33,1,129574.98,1,1,1,123300.38,1,0,0,0,0.08023481016052,0,0.419765189839481,0,TRUE,0,1,0,0,,,,,,,,,
,776,0,35,8,106365.29,1,1,1,148527.56,0,0,1,0,0.080511542645524,0,0.419488457354476,0,TRUE,0,1,0,0,,,,,,,,,
,660,0,31,1,84560.04,1,1,1,137784.25,0,0,1,0,0.080550718217606,0,0.419449281782395,0,TRUE,0,1,0,0,,,,,,,,,
,581,0,28,3,104367.5,1,1,1,29937.75,1,0,0,0,0.080590024488272,0,0.419409975511728,0,TRUE,0,1,0,0,,,,,,,,,
,718,0,35,3,97560.16,1,1,1,53511.74,1,0,0,0,0.080619334622607,0,0.419380665377393,0,TRUE,0,1,0,0,,,,,,,,,
,824,0,30,0,133634.02,1,1,1,162053.92,1,0,0,0,0.080653306546759,0,0.419346693453241,0,TRUE,0,1,0,0,,,,,,,,,
,796,0,67,5,0,2,0,1,54871.02,0,0,1,0,0.080661962928575,0,0.419338037071425,0,TRUE,0,1,0,0,,,,,,,,,
,763,1,32,8,0,2,1,0,16725.53,0,0,1,0,0.080807479763795,0,0.419192520236205,0,TRUE,0,1,0,0,,,,,,,,,
,706,0,30,6,87609.68,2,0,0,137674.55,0,0,1,0,0.080871104512059,1,0.419128895487941,0,FALSE,0,0,0,1,,,,,,,,,
,700,1,42,8,0,2,1,1,105305.72,1,0,0,0,0.080910103351514,0,0.419089896648486,0,TRUE,0,1,0,0,,,,,,,,,
,762,0,31,7,117687.35,1,1,1,159344.43,1,0,0,0,0.080951502608242,0,0.419048497391758,0,TRUE,0,1,0,0,,,,,,,,,
,756,0,34,1,103133.26,1,1,1,90059.04,1,0,0,0,0.080971807782458,0,0.419028192217542,0,TRUE,0,1,0,0,,,,,,,,,
,771,0,32,5,62321.62,1,1,1,40920.59,1,0,0,0,0.081023825339847,0,0.418976174660153,0,TRUE,0,1,0,0,,,,,,,,,
,837,0,31,9,104678.62,1,0,1,50972.6,0,0,1,0,0.081026574191133,0,0.418973425808867,0,TRUE,0,1,0,0,,,,,,,,,
,742,0,31,4,105239.1,1,1,1,19700.24,1,0,0,0,0.081059037895373,0,0.418940962104627,0,TRUE,0,1,0,0,,,,,,,,,
,647,0,32,5,97041.16,1,1,1,23132.73,1,0,0,0,0.081089886579922,0,0.418910113420078,0,TRUE,0,1,0,0,,,,,,,,,
,638,0,37,2,89728.86,2,1,1,37294.88,0,1,0,0,0.081183550053109,0,0.418816449946891,0,TRUE,0,1,0,0,,,,,,,,,
,698,0,29,5,95167.55,1,1,1,152723.23,1,0,0,0,0.0812511996481,0,0.4187488003519,0,TRUE,0,1,0,0,,,,,,,,,
,625,0,32,7,106957.28,1,1,1,134794.02,0,0,1,0,0.081378583299723,0,0.418621416700277,0,TRUE,0,1,0,0,,,,,,,,,
,724,0,34,2,154485.74,2,0,0,78560.64,1,0,0,0,0.08149134802239,0,0.41850865197761,0,TRUE,0,1,0,0,,,,,,,,,
,716,1,40,3,0,2,0,1,167636.15,1,0,0,0,0.081531630130687,0,0.418468369869313,0,TRUE,0,1,0,0,,,,,,,,,
,850,1,32,7,0,2,0,0,155227,1,0,0,0,0.081542464229118,0,0.418457535770882,0,TRUE,0,1,0,0,,,,,,,,,
,483,1,30,9,0,2,0,0,136356.97,1,0,0,0,0.081543892978018,0,0.418456107021982,0,TRUE,0,1,0,0,,,,,,,,,
,608,1,30,8,0,2,1,0,128875.86,1,0,0,0,0.081603196726061,0,0.418396803273939,0,TRUE,0,1,0,0,,,,,,,,,
,644,0,32,3,136659.74,1,1,1,14187.78,0,0,1,0,0.081609767791158,0,0.418390232208842,0,TRUE,0,1,0,0,,,,,,,,,
,618,0,30,3,133844.22,1,1,1,31406.93,1,0,0,0,0.081627094938199,0,0.418372905061801,0,TRUE,0,1,0,0,,,,,,,,,
,705,0,25,0,97544.29,1,0,1,59887.15,1,0,0,0,0.081647776447651,0,0.418352223552349,0,TRUE,0,1,0,0,,,,,,,,,
,535,0,33,2,133040.32,1,1,1,110299.78,1,0,0,0,0.081723767034138,0,0.418276232965862,0,TRUE,0,1,0,0,,,,,,,,,
,809,0,33,9,0,1,1,1,124045.65,0,0,1,0,0.081729640762207,0,0.418270359237793,0,TRUE,0,1,0,0,,,,,,,,,
,480,1,28,6,0,2,0,0,48131.92,1,0,0,0,0.081892064373959,0,0.418107935626041,0,TRUE,0,1,0,0,,,,,,,,,
,658,0,29,4,80262.6,1,1,1,20612.82,1,0,0,0,0.081962530250535,0,0.418037469749465,0,TRUE,0,1,0,0,,,,,,,,,
,670,1,29,9,0,2,1,0,27359.19,0,0,1,0,0.08215810848167,0,0.41784189151833,0,TRUE,0,1,0,0,,,,,,,,,
,553,0,32,7,64082.09,1,0,1,109159.58,1,0,0,0,0.082165614801795,0,0.417834385198205,0,TRUE,0,1,0,0,,,,,,,,,
,600,0,35,4,143744.77,2,1,0,104076.51,1,0,0,0,0.082178228587448,0,0.417821771412552,0,TRUE,0,1,0,0,,,,,,,,,
,654,0,29,4,132954.64,1,1,1,146715.07,1,0,0,0,0.082186861425019,0,0.417813138574982,0,TRUE,0,1,0,0,,,,,,,,,
,490,0,34,5,122952.9,2,0,0,154360.97,1,0,0,0,0.082284900355367,0,0.417715099644633,0,TRUE,0,1,0,0,,,,,,,,,
,717,0,28,4,128206.79,1,1,1,54272.12,1,0,0,0,0.082344991488286,0,0.417655008511714,0,TRUE,0,1,0,0,,,,,,,,,
,593,0,31,8,112713.34,1,1,1,176868.89,0,0,1,0,0.082345299618017,0,0.417654700381983,0,TRUE,0,1,0,0,,,,,,,,,
,850,0,31,6,82613.56,2,1,0,149170.92,0,0,1,0,0.082377298296551,0,0.417622701703449,0,TRUE,0,1,0,0,,,,,,,,,
,551,0,27,2,113873.22,1,1,1,85129.77,0,0,1,0,0.082382222909346,1,0.417617777090654,0,FALSE,0,0,0,1,,,,,,,,,
,605,0,39,3,0,2,1,0,199390.45,1,0,0,0,0.082420631880142,0,0.417579368119858,0,TRUE,0,1,0,0,,,,,,,,,
,734,0,34,6,133598.4,1,1,1,13107.24,1,0,0,0,0.082435558629853,0,0.417564441370147,0,TRUE,0,1,0,0,,,,,,,,,
,781,0,32,6,147107.91,1,1,1,40066.95,1,0,0,0,0.082491316027103,0,0.417508683972897,0,TRUE,0,1,0,0,,,,,,,,,
,712,1,31,7,0,2,1,0,170333.38,1,0,0,0,0.082528908756419,0,0.417471091243582,0,TRUE,0,1,0,0,,,,,,,,,
,560,1,27,5,0,2,1,0,131919.48,1,0,0,0,0.082548185988491,0,0.417451814011509,0,TRUE,0,1,0,0,,,,,,,,,
,764,1,24,7,0,2,1,0,186105.99,1,0,0,0,0.082590909867743,0,0.417409090132257,0,TRUE,0,1,0,0,,,,,,,,,
,748,0,34,5,84009.47,1,1,1,137001.1,1,0,0,0,0.082600302659937,0,0.417399697340063,0,TRUE,0,1,0,0,,,,,,,,,
,716,1,29,8,0,2,0,0,78616.92,0,0,1,0,0.082601209435809,0,0.417398790564191,0,TRUE,0,1,0,0,,,,,,,,,
