,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.855333333333333,0.771333333333333,0.798333333333333,0.854666666666667
2511,679,1,34,7,121063.85,1,1,0,56984.58,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
2032,667,1,37,5,92171.35,3,1,0,178106.34,0,1,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
9628,662,1,22,9,0,2,1,1,44377.65,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4631,659,1,30,8,154159.51,1,1,0,40441.1,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
143,793,0,52,2,0,1,1,0,159123.82,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
3778,579,1,59,3,148021.12,1,1,1,74878.22,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
6738,573,0,35,9,134498.54,2,1,1,119924.8,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4539,718,1,37,7,0,2,1,1,55100.09,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5710,778,0,34,5,139064.06,2,0,0,67949.32,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3961,702,1,29,10,88378.6,1,1,0,88550.28,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7098,621,0,51,4,109978.83,1,0,0,177740.58,0,1,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
6011,520,1,45,1,123086.39,1,1,1,41042.4,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
4270,623,1,57,7,71481.79,2,1,1,84421.34,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6159,756,1,26,5,155143.52,1,0,1,135034.57,0,1,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
3523,835,0,35,6,127120.07,1,1,0,28707.69,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6077,660,1,37,2,133200.09,1,0,0,71433.88,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
3659,534,1,42,9,144801.97,1,0,1,12483.39,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
7448,691,0,36,7,129934.64,1,0,0,75664.56,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
289,588,0,34,10,0,2,1,0,79078.91,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4347,615,0,24,8,108528.07,2,0,0,179488.41,0,1,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
3987,633,0,37,7,141546.35,1,1,1,124830.11,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4825,622,0,31,5,106260.67,1,1,1,2578.43,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8979,514,0,35,3,121030.9,1,1,0,10008.68,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7121,672,0,34,6,0,1,0,0,22736.06,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3663,724,0,31,5,0,1,1,0,134889.95,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
8860,808,0,24,4,122168.65,1,1,0,174107.04,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7950,516,1,33,10,138847.9,1,1,1,127256.7,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
9993,644,0,28,7,155060.41,1,1,0,29179.52,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4650,670,0,33,2,141204.65,2,1,0,76257.46,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3533,695,1,42,5,0,1,0,1,72172.13,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
5234,678,1,41,1,143443.61,1,1,0,196622.28,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
8778,617,1,37,9,101707.8,1,1,0,123866.28,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5426,636,1,36,1,0,1,1,0,43134.58,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
3445,660,0,28,1,118402.25,2,1,0,14288.93,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1542,530,1,33,4,129307.32,1,1,1,172930.28,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
938,577,1,37,4,0,1,1,1,79881.39,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
9952,724,0,37,6,125489.4,1,1,0,118570.53,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
9785,455,1,27,5,155879.09,2,0,0,70774.97,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5180,569,0,43,8,161546.68,2,0,1,178187.28,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4424,601,1,47,1,142802.02,1,1,1,57553.02,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
3585,757,0,28,7,120911.75,2,1,1,131249.46,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1169,653,1,38,8,102133.38,1,1,1,166520.96,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9143,676,1,34,8,100359.54,1,0,0,46038.28,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9908,492,0,45,9,170295.04,2,0,0,164741.81,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8127,651,0,35,8,110067.71,1,1,0,127678.95,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
5556,606,0,40,6,119501.88,2,1,0,46774.94,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9957,633,0,25,1,0,1,1,0,100598.98,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
510,524,1,31,10,67238.98,2,1,1,161811.23,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6768,599,0,42,6,0,2,1,0,113868.4,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4171,564,1,27,6,0,1,0,0,7819.76,1,0,0,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
7883,551,1,45,6,0,2,1,1,51143.43,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1525,569,1,41,4,139840.36,1,1,1,163524.7,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
1827,425,1,22,7,169649.73,2,0,1,136365,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
9683,606,0,32,6,0,2,0,1,36540.63,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4277,775,0,51,2,123783.25,1,1,1,134901.57,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
1914,746,0,31,2,113836.27,1,1,1,174815.54,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6864,593,1,48,3,133903.12,2,1,1,85902.39,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
5377,642,0,72,1,160541,2,1,1,142223.94,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3324,808,0,47,8,139196,1,0,1,74028.36,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1186,670,1,35,3,103465.02,2,1,1,174627.06,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7307,850,0,28,8,67639.56,2,1,1,194245.29,1,0,0,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
7188,708,1,34,4,0,1,1,1,62868.33,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7301,767,1,33,1,144753.21,1,1,1,132480.75,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8849,664,1,38,4,74306.19,2,1,0,154395.56,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8088,541,1,39,9,100116.67,1,1,1,199808.1,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
3088,538,0,25,5,62482.95,1,1,1,102758.43,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4126,675,0,32,10,0,2,1,0,191545.65,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6636,575,0,24,2,0,2,1,1,119927.81,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4302,544,0,44,2,108895.93,1,0,0,69228.2,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
6844,587,0,33,8,148163.57,1,0,0,122925.4,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6845,465,0,24,5,117154.9,1,1,1,127744.02,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7238,697,0,62,7,0,1,1,0,129188.18,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
2554,756,0,30,2,145127.85,1,0,0,7554.68,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
7491,622,0,40,4,99799.76,2,1,0,197372.13,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8698,691,0,30,7,101231.77,2,0,0,156529.44,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2803,705,1,43,7,79974.55,1,1,1,103108.33,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
6893,578,0,50,5,151215.34,2,1,0,169804.4,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
6527,464,0,38,3,116439.65,1,1,0,75574.48,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4686,536,0,53,2,143923.96,1,1,0,2019.78,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
4212,627,1,25,4,0,1,1,1,194313.93,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2515,564,0,40,4,0,1,1,0,85455.62,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
9336,695,0,49,9,159458.53,1,1,0,135841.35,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
2833,683,0,40,8,0,1,1,0,75848.22,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
5753,760,1,41,6,0,2,0,0,101491.23,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4366,662,0,74,6,0,2,1,0,123583.85,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
3485,604,0,33,3,0,1,1,0,42171.13,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
4450,633,0,59,2,103996.74,1,1,1,103159.11,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
66,581,1,34,1,101633.04,1,1,0,110431.51,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
2970,815,0,45,7,0,1,0,1,52885.23,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
4062,559,0,45,8,24043.45,1,0,1,169781.45,1,0,0,0,1,1,1,0.647285223367698,TRUE,FALSE,TRUE,TRUE,TRUE
3643,679,0,45,3,146758.24,1,1,0,48466.89,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
7403,796,0,56,6,94231.13,1,0,0,121164.6,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
8921,472,1,37,1,0,2,1,1,48357.9,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9266,683,1,38,5,127616.56,1,1,0,123846.07,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1668,554,0,24,10,0,1,0,0,92180.62,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9319,529,1,27,1,0,2,1,1,37769.98,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8540,484,0,40,7,106901.42,2,0,0,118045.98,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6545,433,0,27,2,0,2,1,1,153698.65,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6660,776,1,29,5,0,2,1,1,143301.49,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3816,664,1,31,9,114519.57,2,0,1,79222.02,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8744,664,1,49,5,127421.78,2,1,0,108876.75,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
1112,690,1,42,3,92578.14,2,0,0,70810.6,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
865,678,1,25,10,76968.12,2,0,1,131501.72,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7944,520,1,39,1,73493.17,1,0,1,109626.13,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
747,450,1,46,5,177619.71,1,1,0,54227.06,0,0,1,1,0,1,0,0.68192439862543,TRUE,FALSE,TRUE,FALSE,FALSE
1977,717,0,35,1,0,3,0,0,174770.14,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
3552,833,1,39,3,0,2,1,0,1710.89,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2322,567,1,41,1,0,2,1,0,3414.72,0,0,1,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
1381,846,1,41,5,0,3,1,0,3440.47,1,0,0,1,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE
6278,602,1,72,3,0,2,1,1,171260.66,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6582,525,1,60,7,0,2,0,1,168034.9,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
276,756,0,62,3,0,1,1,1,11199.04,1,0,0,0,1,1,1,0.647285223367698,TRUE,FALSE,TRUE,TRUE,TRUE
1344,460,1,40,6,119507.58,2,1,0,91560.63,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
8659,730,0,25,5,167385.81,1,1,1,56307.51,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1166,622,1,28,1,143124.63,2,1,0,81723.8,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9495,680,0,33,10,183768.47,1,1,0,164119.35,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4836,609,0,26,10,126392.18,1,0,1,43651.49,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2760,557,0,68,2,100194.44,1,1,1,38596.34,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
6198,573,0,31,0,134644.19,1,1,1,70381.49,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5874,597,0,19,2,0,2,1,1,91036.74,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8542,688,1,40,8,150679.71,2,0,1,196226.38,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5616,805,0,26,2,0,2,1,1,25042.1,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1488,596,0,30,6,121345.88,4,1,0,41921.75,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
1930,536,0,23,6,92366.72,2,1,0,120661.71,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9387,524,0,32,1,144875.71,1,0,0,187740.04,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8013,650,0,32,2,84906.45,1,1,0,163216.48,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1724,627,0,29,5,139541.58,2,1,0,80607.33,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9722,679,1,36,3,0,2,1,1,2243.41,1,0,0,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
8950,461,1,35,5,0,1,1,1,54209.02,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6178,850,1,40,4,97990.49,2,0,0,106691.02,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4794,705,1,39,5,149379.66,2,1,0,96075.55,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
9585,695,1,35,7,79858.13,2,1,1,127977.66,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1123,779,0,33,1,158456.76,1,1,1,197000.92,0,1,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
6799,760,0,38,6,162888.73,1,1,0,91098.76,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
6766,638,1,33,5,129335.65,1,1,1,56585.2,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
6090,545,0,26,7,0,2,0,1,156598.23,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2656,779,1,34,5,0,2,0,1,111676.63,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
14,635,1,35,7,0,2,1,1,65951.65,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7088,556,1,54,4,150005.38,1,1,0,157015.5,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
7049,602,1,39,6,154121.32,2,1,0,176614.86,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
6633,729,1,42,7,0,2,1,0,58268.2,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
1558,571,1,35,1,104783.81,2,0,1,178512.52,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5641,675,0,42,2,92616.64,2,1,0,8567.18,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
7545,732,0,26,7,0,2,1,0,154364.66,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9826,789,1,40,4,0,2,1,0,137402.27,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6616,606,0,33,8,0,2,1,1,63176.77,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9881,687,1,40,1,0,2,1,0,8207.36,0,0,1,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
7725,482,1,35,5,147813.05,2,0,0,109029.72,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
104,670,1,65,1,0,1,1,1,177655.68,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
4120,666,1,21,1,121827.43,2,1,1,99818.31,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
576,439,1,32,3,138901.61,1,1,0,75685.97,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2564,667,1,38,6,144432.04,1,1,1,73963.17,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
7311,707,0,37,1,0,2,0,1,6035.51,1,0,0,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
370,801,0,42,4,141947.67,1,1,1,10598.29,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3048,783,1,37,1,136689.66,1,1,0,197890.65,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
8417,630,1,26,5,0,2,1,0,182612.38,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4811,575,1,26,7,0,2,1,0,112507.63,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4446,701,1,37,3,0,2,1,1,164268.28,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1923,717,0,36,2,148061.89,1,1,0,179128.69,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
9302,744,0,36,10,0,2,1,1,182867.84,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3235,684,0,34,9,100628,2,1,1,190263.78,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6177,731,0,37,3,116880.53,1,0,0,172718.35,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
5885,602,1,29,3,88814.4,2,1,1,62487.97,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6924,668,0,43,1,147167.25,1,0,0,141679.73,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
4085,520,0,34,4,134007.9,1,1,1,193209.11,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8969,562,1,51,7,122822,2,0,0,32626.21,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
1047,726,1,48,4,0,1,1,0,114020.06,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
1006,561,1,33,6,0,2,1,0,45261.47,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5007,554,1,46,7,87603.35,3,0,1,96929.24,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
1332,778,0,38,3,145018.49,2,1,1,126702.41,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1519,544,1,64,3,124043.8,1,1,1,111402.97,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
4013,720,1,57,1,162082.31,4,0,0,27145.73,0,1,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
4071,850,1,54,4,120952.74,1,1,0,66963.15,0,0,1,1,0,1,0,0.68192439862543,TRUE,FALSE,TRUE,FALSE,FALSE
1213,694,1,22,4,0,2,1,1,11525.72,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6516,607,1,32,7,0,3,0,1,10674.62,0,0,1,0,1,1,0,0.647285223367698,TRUE,TRUE,FALSE,FALSE,FALSE
8943,516,1,37,8,113143.12,1,0,0,3363.36,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5610,733,1,28,5,0,2,0,0,12761.16,1,0,0,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
7511,757,0,38,0,0,1,1,0,83263.06,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4053,550,0,51,5,0,2,1,0,153917.41,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
5440,690,0,43,2,166522.78,1,0,0,119644.59,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
867,636,1,48,1,170833.46,1,1,0,110510.28,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
9955,714,0,29,4,0,2,1,1,37605.9,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4168,516,0,37,8,0,1,1,0,101834.58,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
4799,551,0,52,1,0,1,0,0,63584.55,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
1439,778,1,65,7,0,1,1,1,77867.23,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8192,589,0,36,8,114435.47,1,1,0,26955.72,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8785,850,0,27,1,101278.25,2,1,1,26265.18,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4637,758,1,30,3,141581.08,1,1,0,156249.06,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4898,544,1,40,7,0,1,0,1,161076.92,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
8648,809,1,48,2,0,1,1,0,160976.85,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
5980,558,1,31,7,0,2,1,0,166720.28,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2584,748,0,40,0,0,1,0,0,60416.76,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6783,603,0,31,4,0,2,0,1,9607.1,1,0,0,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
3637,845,1,52,0,0,1,1,0,31726.76,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
6464,564,1,33,2,115761.51,1,0,1,112350.21,0,1,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
5949,742,1,44,8,107926.02,1,0,1,17375.27,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
258,693,1,30,6,127992.25,1,1,1,50457.2,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3792,444,0,36,7,0,2,0,1,138743.86,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8972,650,1,32,4,79450.09,1,1,1,118324.75,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9218,676,1,48,2,124442.38,1,1,0,15068.53,0,1,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
189,687,1,34,7,111388.18,2,1,0,148564.76,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
