,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
29632,1,0,1,70,1,0,551,1,1,1,1,3,4,2,5,5,5,5,1,5,1,14,3.0
48353,0,1,0,39,0,1,1812,2,2,2,4,1,2,1,1,3,5,4,4,4,1,4,0.0
2126,1,0,1,67,1,0,790,4,5,4,3,5,5,4,1,1,4,1,3,1,4,15,3.0
44517,0,0,0,38,0,0,1476,2,0,1,1,2,1,2,2,2,5,5,3,5,2,65,59.0
117410,1,0,1,57,0,0,2359,5,3,2,3,5,5,5,5,3,5,4,5,2,5,179,168.0
105306,1,0,1,19,0,1,1639,5,3,5,5,4,4,4,4,2,2,1,2,3,4,0,0.0
105305,1,0,1,23,0,1,4856,1,1,1,1,4,4,4,4,4,2,3,5,5,4,10,4.0
112445,1,0,1,40,0,1,3678,5,5,5,5,1,1,5,4,4,5,4,5,4,1,0,0.0
44624,0,1,0,38,0,0,1875,2,0,2,1,2,2,2,2,5,2,2,3,5,2,1,0.0
83089,0,0,1,51,0,1,1993,3,2,2,2,2,2,3,3,3,3,3,1,3,2,3,0.0
83349,0,1,1,67,0,1,3118,3,4,4,4,3,3,3,3,3,3,3,2,3,4,0,0.0
85526,1,1,1,30,0,1,1609,4,4,5,4,3,3,3,3,1,3,5,2,2,3,0,0.0
15711,1,0,1,7,1,0,1431,4,5,5,5,4,2,2,4,4,4,4,2,4,2,7,0.0
3589,1,0,1,70,1,0,491,0,0,0,3,2,4,1,1,1,1,1,3,1,4,63,50.0
29042,0,1,1,62,1,0,1933,3,5,3,1,4,3,4,4,5,2,5,4,4,4,0,0.0
87380,0,1,1,17,0,0,2253,4,3,3,3,4,2,4,3,1,3,4,4,3,4,437,518.0
119138,1,1,1,35,0,1,507,1,1,1,1,3,3,5,5,5,5,5,5,5,3,32,20.0
115904,1,0,1,48,0,1,473,4,4,4,4,2,4,4,5,5,5,5,2,5,4,0,0.0
31913,0,0,1,15,1,0,1817,3,5,4,3,2,4,2,2,3,4,5,5,5,2,0,0.0
121540,1,0,1,51,0,0,680,5,4,5,4,4,1,3,5,5,5,5,3,5,3,0,19.0
30301,0,1,1,67,1,0,1988,3,5,3,3,1,3,1,1,1,5,3,4,1,1,6,0.0
95293,1,0,1,27,0,1,4737,5,5,5,5,4,4,4,4,1,4,4,1,3,4,54,61.0
44065,0,0,0,38,0,0,1984,1,3,2,4,2,2,2,5,5,3,3,2,3,2,185,176.0
79871,1,0,1,20,0,1,2004,3,3,3,3,3,3,3,3,2,1,2,2,3,3,25,28.0
114619,1,0,1,53,0,0,566,5,2,3,2,5,4,1,5,5,5,5,5,5,4,0,0.0
91309,1,0,1,43,0,0,542,4,4,1,4,2,4,4,4,4,4,4,2,4,5,0,0.0
86922,0,0,1,33,0,1,3781,4,1,4,4,2,3,3,4,4,3,4,1,4,4,0,1.0
65308,1,0,1,22,0,0,1906,0,4,0,4,3,0,3,3,1,5,1,4,1,3,0,0.0
85313,0,1,1,46,0,1,2066,3,1,1,1,1,4,4,3,3,3,3,2,3,4,63,97.0
47803,0,1,0,25,0,0,2163,2,2,2,3,4,2,4,4,1,2,3,3,3,4,0,0.0
67145,0,1,1,64,0,1,695,1,1,1,1,1,4,3,1,1,1,1,3,1,2,0,0.0
47804,0,1,0,23,0,0,2471,2,2,2,3,3,2,3,3,2,4,3,2,4,3,3,1.0
25369,0,1,1,33,1,0,1611,3,4,3,2,2,3,2,2,5,5,5,3,4,2,5,5.0
31330,0,0,1,13,1,1,1051,3,5,3,4,3,3,3,3,5,2,5,4,5,3,14,7.0
107766,1,1,1,47,0,0,1867,4,4,4,4,4,4,4,4,1,2,1,4,2,4,0,0.0
58234,0,1,0,39,0,0,2018,4,3,4,3,5,4,5,5,2,5,3,2,2,5,0,0.0
102086,1,0,1,39,0,1,249,5,5,5,5,5,4,2,4,4,4,4,1,4,3,73,64.0
108522,1,0,1,41,0,1,2213,2,2,2,2,5,3,4,4,4,4,4,1,4,3,12,10.0
111114,1,1,1,43,0,1,2029,3,3,3,3,5,1,2,5,5,4,5,1,5,1,33,26.0
127415,1,0,1,32,0,0,2041,5,5,5,5,5,5,5,5,1,5,3,1,5,5,7,0.0
95126,1,1,1,43,0,0,1503,4,3,3,3,4,4,4,4,3,2,3,2,3,4,0,0.0
122750,1,1,1,43,0,0,1549,5,2,2,2,5,5,5,5,1,1,5,3,5,5,0,0.0
6631,1,0,1,47,1,0,393,2,2,5,2,5,5,5,3,3,3,3,3,3,4,0,0.0
9590,1,0,1,63,1,0,365,4,4,1,4,5,5,5,4,4,4,4,5,4,5,85,89.0
7972,0,1,1,42,1,0,1967,1,5,2,5,5,2,5,5,4,3,4,5,5,5,13,12.0
12746,0,1,1,36,1,0,1711,2,4,2,1,5,2,5,5,3,3,5,5,4,5,0,4.0
13378,1,0,1,22,1,0,1444,3,2,3,3,4,4,4,4,4,4,4,3,5,4,1,81.0
19831,1,0,1,36,1,0,1994,5,5,5,5,4,5,2,5,5,5,3,1,5,3,24,20.0
19200,0,0,1,52,1,0,2160,2,5,2,4,2,3,3,5,4,5,5,3,3,3,211,213.0
27574,0,0,1,65,1,0,2069,3,4,3,4,3,4,4,5,3,4,3,4,4,4,234,253.0
1554,0,1,1,67,1,0,2016,1,1,1,5,3,1,3,3,5,5,4,5,4,3,0,0.0
67324,0,1,1,43,0,1,2148,1,4,4,4,4,4,4,1,1,1,1,4,1,4,1,0.0
24734,1,0,1,11,1,0,1563,5,4,4,4,5,5,5,5,4,3,5,4,5,5,0,0.0
29619,0,1,1,12,1,0,1668,3,5,3,2,2,3,2,2,2,5,4,3,5,2,0,9.0
33225,0,0,1,38,1,0,1393,4,2,4,4,3,4,1,3,4,3,4,3,3,3,0,0.0
75513,1,1,1,55,0,0,1631,2,1,1,1,2,2,2,2,3,5,3,1,1,2,12,2.0
87835,1,0,1,12,0,1,4336,1,1,2,1,3,4,3,3,3,1,1,3,3,3,0,0.0
91577,1,0,1,34,0,1,2139,4,4,4,4,4,4,5,4,4,4,4,4,4,3,5,0.0
77714,0,1,1,25,0,0,1424,2,2,2,2,2,2,3,2,3,2,4,2,3,2,13,16.0
90958,1,1,1,50,0,1,1811,4,4,4,4,3,3,5,4,4,4,4,5,4,1,0,0.0
49378,0,0,0,37,0,0,1811,2,3,2,3,3,2,3,3,2,1,4,4,3,3,0,0.0
35833,0,0,1,51,1,0,625,4,4,4,4,3,3,3,3,3,4,3,4,3,3,9,0.0
7476,0,1,1,66,1,0,1545,1,5,1,4,5,1,5,5,5,3,5,3,1,5,83,75.0
26359,1,0,1,8,1,0,1719,5,5,5,5,4,5,5,5,5,5,5,5,5,4,0,11.0
12553,0,1,1,55,1,0,2210,2,4,2,1,3,2,3,3,3,3,4,5,4,3,29,25.0
3545,1,0,1,14,1,0,2115,0,0,0,3,5,3,5,4,4,4,4,4,4,4,0,0.0
12610,1,0,1,64,1,0,539,2,2,2,2,4,4,4,4,4,3,3,3,5,4,0,0.0
4376,1,0,1,18,1,0,2585,0,5,0,3,5,5,4,2,2,2,2,5,2,4,0,0.0
30381,0,1,1,37,1,0,2158,3,5,3,3,4,3,4,4,5,3,4,3,4,4,0,0.0
90736,1,1,1,25,0,1,3949,1,1,1,1,4,4,4,4,2,4,4,5,4,4,12,0.0
47610,0,0,0,35,0,0,2467,2,2,2,3,5,2,5,5,3,3,4,1,3,5,0,0.0
119300,1,1,1,42,0,1,3654,4,4,4,4,3,5,5,5,5,5,5,5,5,4,19,16.0
74614,0,0,1,34,0,0,1793,2,5,5,5,2,2,2,2,1,5,3,3,4,2,22,38.0
61948,1,0,0,20,0,0,1902,5,0,5,5,5,5,5,5,5,3,1,2,1,5,51,37.0
41199,0,0,0,30,0,0,1240,1,0,1,3,1,1,2,1,4,2,3,2,2,1,15,4.0
76712,0,1,1,55,0,1,516,2,5,5,5,4,3,3,2,2,2,2,2,2,1,0,3.0
76713,0,1,1,40,0,1,2426,2,4,4,4,3,4,4,2,2,2,2,1,2,4,0,3.0
115734,1,0,1,41,0,0,2029,5,2,2,2,5,5,5,5,4,1,1,4,4,5,10,5.0
67499,0,1,1,44,0,1,2740,1,3,2,2,2,3,3,1,1,1,1,4,1,3,18,13.0
81754,0,0,1,54,0,0,495,3,4,4,4,4,2,2,3,3,3,3,3,3,1,29,25.0
41087,0,0,0,26,0,0,2192,1,0,1,2,2,1,4,2,2,3,2,4,4,2,97,102.0
71768,0,1,1,60,0,1,448,2,1,1,1,4,2,2,2,2,2,2,2,2,2,37,48.0
108364,1,1,1,47,0,1,1757,2,2,2,2,5,1,4,4,4,4,4,2,4,4,31,11.0
74397,0,1,1,61,0,1,2204,2,4,4,4,2,2,2,1,4,3,4,2,3,2,136,155.0
16028,1,0,1,54,1,0,487,3,3,3,3,5,5,4,4,4,4,4,3,4,4,11,5.0
31267,0,1,1,27,1,0,1627,3,5,3,4,4,3,4,4,3,4,4,5,4,4,0,0.0
86207,0,1,1,28,0,0,2231,3,4,4,4,3,3,3,3,2,5,4,1,3,3,65,57.0
19549,1,0,1,7,1,1,1821,4,4,4,4,4,5,5,5,5,4,5,5,5,4,0,0.0
44306,0,1,0,33,0,0,1396,1,4,1,4,1,1,1,1,2,3,5,4,1,1,5,0.0
62132,1,0,0,24,0,0,1629,5,3,5,3,3,5,3,3,2,5,4,3,3,3,0,0.0
96671,1,1,1,73,0,0,1048,4,1,1,1,4,4,4,4,5,1,3,4,4,4,0,0.0
120157,1,0,1,37,0,1,3872,1,1,5,1,3,1,4,5,5,5,5,4,5,1,5,13.0
46259,1,1,0,57,0,1,1586,2,2,2,2,5,2,5,5,5,3,3,1,2,5,0,0.0
102199,1,0,1,33,0,1,252,5,5,4,5,1,5,3,4,4,4,4,4,4,5,64,43.0
129566,1,0,1,47,0,1,2888,2,2,2,2,4,1,5,5,5,5,5,1,5,5,0,0.0
67892,0,0,1,47,0,1,63,1,2,4,2,2,4,3,1,1,1,1,4,1,3,0,1.0
78453,0,1,1,67,0,1,2909,4,5,5,5,4,4,3,2,2,2,4,4,2,3,20,14.0
74966,0,0,1,18,0,1,3129,2,3,3,3,2,2,2,2,1,3,3,3,4,2,2,0.0
37699,1,0,1,55,1,0,245,4,5,4,3,4,5,5,2,2,4,2,3,2,4,15,5.0
22070,0,0,1,16,1,0,1889,3,2,3,3,4,3,4,4,3,4,3,3,3,4,128,131.0
36356,0,0,1,59,1,0,251,4,5,0,1,4,5,4,5,5,0,5,5,5,4,25,10.0
16178,0,1,1,47,1,0,1136,2,5,0,3,5,0,5,5,5,2,4,4,4,5,66,42.0
118122,1,1,1,49,0,0,2022,5,2,2,2,5,5,5,5,1,5,1,2,3,5,4,11.0
123563,1,0,1,36,0,0,2173,5,4,4,4,5,5,5,5,2,5,4,4,5,5,88,62.0
48098,0,1,0,58,0,1,1340,2,2,2,4,4,2,4,4,5,4,5,5,4,4,80,74.0
82408,1,0,1,47,0,0,291,3,3,3,3,5,3,1,3,3,3,3,3,3,5,36,30.0
56127,0,0,0,44,0,0,1063,3,4,4,2,4,4,1,4,3,3,1,3,2,4,8,10.0
47788,0,1,0,27,0,1,1634,2,2,2,3,5,2,5,5,4,2,2,3,3,5,104,91.0
67557,0,1,1,37,0,0,1813,1,5,5,5,1,1,1,1,4,3,4,1,3,1,0,0.0
110524,1,1,1,39,0,0,2011,5,4,3,4,5,4,5,5,2,5,5,1,1,5,0,0.0
44643,0,0,0,44,0,0,1759,2,0,2,1,3,2,3,3,2,5,1,1,1,3,0,1.0
61484,1,0,0,19,0,0,1109,5,0,5,1,1,0,1,1,3,4,3,4,5,1,0,0.0
9991,1,0,1,9,1,0,1604,5,5,5,5,2,5,5,4,4,4,4,3,4,3,2,5.0
8044,1,0,1,11,1,0,2054,2,4,2,2,2,4,4,3,3,4,3,5,3,4,30,15.0
115574,1,1,1,31,0,1,2761,1,1,1,1,5,5,5,5,4,4,3,5,5,5,0,0.0
68543,0,0,1,10,0,1,1470,1,3,1,3,1,1,1,1,3,5,4,4,3,1,52,45.0
101567,0,1,1,33,0,0,1617,4,2,2,2,4,4,4,4,3,1,3,2,4,4,35,67.0
26434,1,0,1,47,1,0,495,5,5,5,5,2,4,5,5,5,5,5,4,5,5,35,12.0
86954,0,0,1,36,0,0,1423,4,5,5,5,4,3,4,4,3,2,2,2,2,4,0,0.0
77794,0,1,1,48,0,1,5594,3,2,2,2,2,3,2,3,3,3,4,2,2,2,137,139.0
120158,1,0,1,46,0,1,2420,5,2,5,5,2,4,5,5,5,5,5,5,5,3,1,6.0
24129,0,1,1,32,1,0,1393,3,4,0,4,2,0,1,2,4,3,4,4,5,2,25,17.0
20983,0,1,1,14,1,0,1491,3,1,3,3,2,3,2,2,2,5,3,2,3,2,22,19.0
15493,1,0,1,10,1,0,727,1,1,2,1,4,5,4,4,4,4,4,3,4,5,12,1.0
108794,1,0,1,58,0,1,64,4,4,4,4,1,1,4,4,4,4,4,4,4,3,24,23.0
82601,1,0,1,45,0,0,73,3,3,4,3,1,4,1,3,3,3,3,5,3,1,2,26.0
51295,0,1,0,21,0,0,1428,3,1,3,2,4,3,4,4,1,4,3,3,2,4,23,19.0
111428,1,1,1,47,0,1,3408,4,4,4,4,4,3,3,5,5,5,3,3,5,1,21,21.0
56569,0,0,0,20,0,0,1542,3,5,4,2,2,4,2,2,4,5,3,1,2,2,0,0.0
8669,0,1,1,18,1,0,2052,2,1,2,2,2,2,2,1,5,3,2,2,3,2,84,183.0
28364,1,0,1,27,1,0,1953,5,3,3,3,1,2,3,5,5,5,5,1,5,4,0,0.0
31439,0,1,1,38,1,0,1817,3,5,3,4,5,3,3,5,5,5,4,5,5,5,0,0.0
20252,0,1,1,12,1,0,1318,3,0,3,4,1,3,1,1,3,5,5,3,4,1,0,22.0
99940,1,0,1,42,0,1,641,4,4,4,4,3,4,5,4,4,4,4,3,4,4,0,0.0
126256,1,1,1,57,0,1,2273,4,4,4,4,4,5,5,5,5,5,5,3,5,3,2,1.0
115414,1,1,1,29,0,1,3977,1,1,1,1,5,5,5,5,4,3,2,4,1,5,0,7.0
108068,1,1,1,39,0,1,1621,3,3,4,3,3,2,1,4,4,4,4,2,4,5,0,0.0
126258,1,0,1,44,0,1,634,5,5,5,5,2,3,4,5,5,5,5,5,5,1,42,39.0
57361,0,0,0,14,0,0,1438,4,0,4,5,1,4,1,1,3,1,2,4,3,1,0,0.0
45026,0,0,0,22,0,0,1616,2,0,2,4,3,2,2,3,2,4,3,4,3,3,30,27.0
85008,0,0,1,47,0,0,639,3,4,4,4,2,4,3,3,3,3,3,2,3,3,0,0.0
16770,0,1,1,9,1,0,2458,2,5,2,1,2,2,3,2,3,4,4,5,4,2,28,11.0
72691,0,1,1,54,0,0,1340,2,2,2,2,2,2,2,2,3,3,4,3,3,2,0,3.0
124371,1,0,1,27,0,0,1905,5,2,2,2,5,5,5,5,3,2,4,5,2,5,0,10.0
16627,0,1,1,48,1,0,1875,2,5,2,1,1,2,2,1,4,4,4,4,5,1,40,62.0
114351,1,0,1,55,0,0,791,5,1,1,1,3,1,3,5,5,5,5,5,5,3,0,5.0
26103,1,0,1,50,1,0,809,3,3,3,3,4,5,5,5,5,5,5,5,5,5,0,11.0
76613,0,1,1,40,0,1,3274,2,5,5,5,2,4,3,2,2,2,2,3,2,1,0,0.0
79307,1,0,1,24,0,1,1880,5,5,4,5,2,3,2,2,4,5,3,5,3,2,35,15.0
123070,1,0,1,41,0,1,559,2,2,2,2,5,2,1,5,5,5,5,5,5,2,15,0.0
51318,0,0,0,23,0,0,1618,3,1,3,3,1,3,1,1,2,3,3,4,2,1,63,64.0
118989,1,1,1,34,0,1,1842,1,1,1,1,1,4,5,5,5,5,5,1,5,5,0,0.0
81518,0,0,1,57,0,0,1952,3,5,5,5,3,3,3,2,4,4,4,3,2,3,131,151.0
78554,0,0,1,47,0,1,1862,4,3,3,3,1,3,4,3,3,2,4,3,3,2,39,31.0
112387,1,0,1,35,0,1,2680,1,1,1,1,2,1,2,4,4,5,4,3,4,2,0,
49908,0,1,0,28,0,0,2551,2,4,2,1,2,2,2,5,1,3,5,2,5,2,209,207.0
80796,1,0,1,32,0,1,3473,2,2,2,2,3,3,3,3,1,4,3,2,2,3,62,60.0
102380,0,1,1,80,0,1,2539,4,5,1,1,2,3,4,4,4,4,4,4,4,3,28,29.0
39554,1,1,1,49,1,0,2113,5,5,5,1,5,3,3,5,3,4,5,3,4,3,132,118.0
12131,0,1,1,52,1,1,712,2,4,1,3,3,5,4,4,4,1,4,4,4,3,0,0.0
6948,1,0,1,7,1,1,2140,2,2,2,2,5,4,4,3,3,3,3,4,3,5,11,6.0
106123,1,0,1,35,0,0,2163,4,1,2,1,4,4,4,4,5,2,2,1,1,4,8,5.0
63543,1,0,0,24,0,0,1841,5,5,5,5,4,5,4,4,1,5,4,1,5,4,0,0.0
30285,1,0,1,13,1,0,2064,2,2,2,2,1,3,5,5,5,5,5,5,5,5,11,0.0
6465,0,1,1,28,1,0,2291,1,5,1,2,5,1,2,5,4,3,5,3,5,5,0,0.0
21121,1,0,1,30,1,0,1887,4,4,4,4,3,5,5,5,5,5,4,4,5,3,0,28.0
118728,1,0,1,43,0,0,720,5,1,1,1,1,4,3,5,5,5,5,5,5,3,5,0.0
67611,0,0,1,40,0,1,3627,1,4,4,4,4,3,3,1,1,1,1,4,1,1,0,0.0
100604,1,0,1,43,0,1,2746,5,5,5,5,2,4,5,4,4,4,4,4,4,5,0,7.0
126663,1,1,1,45,0,1,3227,3,3,3,3,3,5,5,5,5,5,5,5,5,5,0,13.0
85432,0,0,1,54,0,1,3981,3,5,5,5,4,3,4,3,3,3,3,2,3,3,10,5.0
22781,1,0,1,49,1,1,380,5,5,5,5,4,4,2,5,5,5,5,2,5,4,0,0.0
51904,0,0,0,30,0,0,1252,3,2,3,3,4,3,4,4,3,1,3,1,3,4,0,6.0
49947,0,1,0,34,0,0,1941,2,4,2,2,1,2,1,1,3,4,3,4,3,1,0,0.0
105128,1,1,1,49,0,1,539,3,3,3,3,2,5,2,4,4,4,4,2,4,2,3,0.0
70786,0,1,1,28,0,1,1674,2,4,5,4,2,2,2,2,3,5,1,1,2,2,0,0.0
127263,1,0,1,30,0,1,2848,5,5,3,5,5,5,5,5,4,5,1,2,5,5,97,91.0
95787,1,0,1,37,0,0,1401,4,1,1,1,4,4,4,4,2,2,5,4,5,4,0,0.0
39782,1,1,1,55,1,0,2037,5,5,5,3,1,5,1,1,4,2,5,2,4,1,0,3.0
18372,0,0,1,39,1,0,2132,2,5,2,3,2,4,4,4,4,5,5,4,3,4,222,219.0
12595,0,1,1,27,1,0,1744,2,4,2,1,4,2,4,4,3,5,5,3,5,4,0,0.0
17378,0,1,1,54,1,0,1660,2,5,2,2,4,2,4,4,3,1,2,4,2,4,0,0.0
7764,0,1,1,41,1,0,1830,1,5,1,5,5,1,3,5,3,2,4,3,5,5,0,0.0
94596,1,1,1,46,0,0,2023,4,3,3,3,4,4,4,4,1,4,3,5,4,4,9,5.0
73813,0,0,1,43,0,0,2194,2,2,2,2,2,2,2,3,1,4,4,2,4,2,187,185.0
107703,1,1,1,47,0,0,1750,4,5,4,5,4,4,4,4,4,4,5,5,1,4,0,0.0
46536,0,0,0,32,0,0,2080,2,2,2,2,5,2,5,5,5,5,3,1,4,5,0,9.0
63551,1,0,0,26,0,0,1376,5,5,5,5,4,5,4,4,1,1,4,1,1,4,9,0.0
29647,0,1,1,25,1,0,1663,3,5,3,2,2,3,2,2,4,3,4,3,5,2,0,0.0
73524,1,0,1,30,0,1,4995,5,5,5,5,2,2,2,2,2,2,2,5,5,2,0,0.0
111923,1,0,1,45,0,1,1768,1,1,1,1,2,4,1,4,4,5,4,1,4,1,0,0.0
57947,1,0,0,52,0,0,2295,4,3,3,1,5,3,5,5,3,3,1,5,1,5,0,0.0
84665,1,1,1,52,0,0,1837,3,5,5,5,3,3,3,3,3,2,1,3,5,3,0,0.0
59839,0,0,0,42,0,0,2551,4,4,4,3,4,4,2,4,3,2,5,3,5,4,0,0.0
99663,0,0,1,10,0,1,1798,4,5,5,5,4,4,4,4,4,3,3,4,4,4,0,0.0
43411,0,1,0,24,0,0,1347,1,1,1,5,2,1,5,2,4,5,5,3,4,2,56,47.0
61302,1,0,0,21,0,0,1849,4,5,5,4,4,5,5,4,1,5,1,4,1,4,0,0.0
41879,0,0,0,26,0,0,2350,1,1,1,2,1,4,5,1,1,3,3,5,2,5,145,126.0
91773,1,1,1,57,0,1,463,3,3,3,3,5,1,3,4,4,4,4,2,4,4,0,0.0
63969,1,0,1,43,0,1,2911,0,0,0,2,2,1,3,5,5,3,3,3,5,4,6,0.0
35230,1,0,1,43,1,0,690,4,4,4,3,5,5,5,3,3,4,3,4,3,5,0,2.0
3081,1,0,1,22,1,0,2304,5,5,5,2,4,5,4,4,2,3,5,4,5,4,2,0.0
9174,0,1,1,64,1,0,1845,2,1,2,4,4,2,4,4,1,3,4,2,3,4,0,0.0
38169,0,1,1,55,1,0,2444,4,5,4,5,3,4,1,3,3,5,4,4,4,3,0,0.0
89046,1,0,1,24,0,0,2553,4,5,5,5,4,4,3,4,4,2,3,1,3,4,0,1.0
48841,0,0,0,7,0,0,2093,2,2,2,4,4,2,4,4,1,1,4,3,4,4,3,7.0
118219,1,1,1,48,0,0,1709,5,3,3,3,5,5,5,5,4,1,5,5,3,5,0,0.0
65314,1,0,1,57,0,1,2060,0,4,0,4,3,4,5,4,4,4,4,3,4,4,0,0.0
64067,1,1,1,45,0,1,262,0,0,0,2,4,4,5,4,4,4,4,4,4,3,0,4.0
65133,1,0,1,55,0,1,4457,0,4,0,2,4,4,4,1,2,3,3,4,3,4,277,278.0
127243,1,1,1,35,0,0,1523,5,5,5,5,5,5,5,5,5,4,5,2,4,5,41,38.0
113174,1,1,1,47,0,1,3395,1,1,1,1,5,4,1,5,5,5,4,3,5,2,0,0.0
102204,1,0,1,45,0,1,3388,5,5,5,5,4,2,3,4,4,4,4,1,4,5,0,0.0
102206,1,1,1,43,0,1,238,1,1,3,1,5,5,3,4,4,4,4,4,4,5,1,5.0
102558,0,1,1,64,0,0,1702,4,5,5,5,4,4,4,4,3,5,3,1,4,4,0,0.0
127913,1,1,1,36,0,1,56,5,5,5,5,5,3,4,5,5,5,5,3,5,2,89,84.0
86801,0,0,1,60,0,0,96,3,5,5,5,1,4,3,4,4,3,4,4,4,1,0,0.0
66540,0,1,1,66,0,0,1767,1,5,5,5,1,1,1,1,4,5,3,1,3,1,0,0.0
89155,1,1,1,50,0,1,91,4,4,4,4,1,1,1,4,4,4,3,4,4,3,0,0.0
55281,0,1,0,26,0,1,1603,3,3,3,4,3,3,3,3,2,4,4,1,4,3,0,0.0
40211,1,0,0,23,0,0,1739,0,0,0,2,2,0,2,2,1,5,1,1,5,2,0,0.0
81048,0,1,1,50,0,1,4020,3,2,2,2,3,1,1,3,3,3,3,2,3,5,5,4.0
9309,1,0,1,44,1,0,235,4,4,4,4,2,4,5,4,4,4,4,3,4,4,72,67.0
36355,1,1,1,44,1,0,1697,4,5,0,1,2,0,2,2,3,4,4,5,5,2,0,0.0
78425,0,1,1,18,0,0,1132,1,3,2,3,1,2,4,1,1,3,3,3,4,1,33,25.0
54945,0,0,0,25,0,0,2293,3,3,3,4,5,3,5,5,4,5,4,4,3,5,20,0.0
65762,1,1,1,62,0,1,2187,0,5,1,1,2,4,5,2,2,2,2,4,2,5,0,0.0
70217,0,0,1,53,0,1,1630,1,5,5,5,1,4,3,2,2,2,1,4,2,4,0,0.0
44644,0,0,0,23,0,0,1846,2,0,2,1,4,2,1,4,4,5,2,5,4,4,0,0.0
116963,1,0,1,27,0,1,3518,4,4,4,4,5,5,5,5,5,2,5,4,2,5,51,40.0
91421,1,1,1,42,0,0,1824,4,3,3,3,4,4,4,4,4,2,1,5,5,4,9,8.0
70226,0,1,1,32,0,1,1132,1,4,4,4,2,2,1,2,4,2,3,1,3,2,16,12.0
109821,1,1,1,41,0,0,1471,4,5,5,5,5,4,5,5,2,4,3,1,1,5,0,0.0
12835,0,1,1,40,1,0,1609,2,4,2,1,1,2,1,1,4,3,5,4,4,1,10,3.0
18522,0,1,1,30,1,0,1742,2,5,2,3,3,2,3,3,5,3,4,5,5,3,0,0.0
493,1,0,1,19,1,0,1549,0,4,0,4,2,0,2,2,2,2,4,2,4,2,0,0.0
23799,0,1,1,66,1,0,1507,3,3,3,4,2,3,2,2,5,3,4,3,3,2,28,10.0
87803,1,1,1,46,0,0,1609,4,2,4,2,3,4,3,3,2,5,3,4,2,3,0,2.0
51053,0,0,0,23,0,0,1723,3,0,3,4,1,3,1,1,1,3,3,3,4,1,67,57.0
81072,0,1,1,78,0,0,1502,3,4,3,4,3,3,3,3,1,4,4,2,3,3,32,38.0
81123,0,1,1,71,0,0,1785,3,3,3,3,3,3,3,3,3,2,4,1,3,3,75,73.0
14012,1,0,1,56,1,1,725,5,5,5,5,4,4,5,4,4,4,4,3,4,5,0,0.0
113420,1,1,1,22,0,0,2144,5,1,4,4,5,5,4,5,4,3,1,5,3,5,8,0.0
126571,1,0,1,41,0,0,1489,5,3,3,3,5,5,5,5,1,2,1,3,5,5,1,0.0
100838,1,0,1,39,0,0,1827,4,4,4,4,4,4,4,4,2,2,5,5,2,4,0,0.0
99581,1,1,1,24,0,1,2711,5,5,5,5,4,4,4,4,4,1,2,3,4,4,32,12.0
21139,1,0,1,12,1,0,2347,2,2,2,2,3,1,5,5,5,5,4,4,5,1,25,18.0
18116,1,0,1,42,1,0,624,4,2,2,2,4,4,4,4,1,2,4,3,5,4,0,0.0
118551,1,0,1,27,0,1,5786,4,4,4,4,5,5,5,5,4,5,5,5,4,5,0,4.0
87886,1,0,1,40,0,0,1628,3,5,5,5,3,4,3,3,4,3,5,1,2,3,4,7.0
118552,1,1,1,25,0,1,3997,5,5,3,5,5,5,5,5,5,2,4,1,5,5,0,0.0
67172,0,0,1,34,0,1,3200,1,2,2,2,5,4,3,1,1,1,1,1,1,1,0,0.0
34472,0,1,1,68,1,0,1905,4,4,4,1,2,4,2,2,4,5,4,5,4,2,6,0.0
51584,0,0,0,21,0,0,2102,3,2,2,1,1,2,1,1,5,1,3,2,4,1,17,13.0
50559,0,1,0,28,0,0,1549,3,0,2,2,4,2,4,4,5,1,2,5,1,4,0,0.0
70765,0,1,1,48,0,1,589,2,1,1,1,4,2,3,2,2,2,2,3,2,4,105,93.0
91576,1,1,1,36,0,1,533,5,5,5,5,3,1,4,4,4,4,4,2,4,5,46,40.0
83239,0,1,1,61,0,1,2484,3,4,4,4,4,2,3,3,3,3,3,4,3,1,5,1.0
44400,0,1,0,43,0,0,1405,1,5,1,1,5,1,5,5,4,2,5,1,4,5,106,103.0
20162,1,0,1,46,1,1,344,4,3,4,4,4,5,4,4,5,4,5,3,4,4,0,0.0
113034,1,1,1,27,0,0,1621,4,3,3,3,4,5,4,4,1,2,2,5,4,4,0,0.0
63486,1,0,0,40,0,1,1798,5,5,5,5,3,5,3,3,5,1,4,3,2,3,14,9.0
112033,1,0,1,56,0,1,414,3,3,3,3,5,2,2,4,4,5,4,1,4,4,34,32.0
119650,1,1,1,30,0,1,2000,5,5,5,5,5,5,5,5,4,2,5,2,5,5,0,0.0
100534,1,0,1,41,0,0,1925,4,4,4,4,4,4,4,4,1,4,1,3,4,4,0,0.0
101128,1,1,1,37,0,0,1621,4,2,2,2,4,4,4,4,2,4,1,5,3,4,38,21.0
96104,1,1,1,46,0,1,358,4,4,4,4,4,1,3,4,4,4,4,3,4,1,0,0.0
